,MiceID,Vendor,SCFA,A1,n,K,Ai,R2
0,SI2,Shanghai,Acetate,4.313659494694934e-14,9.999599715590016,30.99970112954592,20.0154278,-0.059538446186018446
1,BI5,Beijing,Acetate,6.952806424471175,9.022689112143395,0.038350357484064096,8.06512734,0.4399998217193316
2,GI3,Guangdong,Acetate,14.894649021084113,9.999999999998165,0.9531934264372077,8.612628298999999,0.33796397569864256
3,BI1,Beijing,Acetate,13.417999313591782,9.999999999966434,0.9081807553685847,5.233899217,0.31794844475468886
4,HI2,Hunan,Acetate,14.322663830807253,9.999999999194833,0.8745139980785106,2.061242664,0.7228956932242991
5,BI3,Beijing,Acetate,2.472084253086727,9.999999993624066,30.999999995783625,18.07537795,-0.13528694051022638
6,BI4,Beijing,Acetate,14.888055942087465,0.2481643282544925,30.99999999636173,12.58036796,0.6055093555461768
7,GI4,Guangdong,Acetate,15.154865619147467,2.716723600800958,0.9581150905992115,8.486632204,0.5159581624973939
8,HI5,Hunan,Acetate,2.391831758001542,9.999999995127988,1.3645553469499732,13.79321843,0.05253623324781209
9,SI3,Shanghai,Acetate,7.254123348238689,9.224699196318566,0.027660705993121575,5.0557565989999995,0.2659980569407153
10,HI1,Hunan,Acetate,8.51713268319104,9.99999999999981,5.559921447541234,9.126347802,0.1214350732708499
11,SI5,Shanghai,Acetate,5.897608248238085,6.664088690492605,0.007811107819105512,10.29078305,0.1532615380071387
12,GI2,Guangdong,Acetate,9.40802086674951,4.737460712394983,1.1391910522205677,8.106015595,0.41194873001552446
13,HI4,Hunan,Acetate,3.550848298887356,9.999999999776177,1.695699033235675,11.09616374,0.11913864712298816
14,SI1,Shanghai,Acetate,14.875582001000103,7.983572578925847,0.02244503172929947,3.651461181,0.2008170698243914
15,SI4,Shanghai,Acetate,9.562429178095238,7.1895827287237655,0.012248189070079688,7.91718273,0.14276469797424007
16,GI1,Guangdong,Acetate,10.654296983035525,4.883819805777522,2.7517002443139607,12.46677302,0.7362641884726728
17,BI2,Beijing,Acetate,3.3085322796182486,9.99999999362427,3.8571954026760578,13.45982298,-0.026871780427264014
18,SI2,Shanghai,Propionate,13.74254313699612,6.595102770239638,30.99999999309696,3.24210555,0.7647393752156506
19,BI5,Beijing,Propionate,5.495405003401261,6.279006804802968,0.009888649553329083,3.1342093589999998,0.2980130344905152
20,GI3,Guangdong,Propionate,10.320105682106291,9.999999999628916,0.7965784633683378,1.9624310630000001,0.41305753032471104
