,MiceID,Vendor,SCFA,k1,k2,D,H,Ai,R2,zeta
55,GI3,Guangdong,Total,0.385487384,0.385487392,37.94407985,5.378354343,13.60364211,0.725038836,1
56,BI1,Beijing,Total,0.524686265,0.524686501,49.29123157,6.861808036,8.702693104,0.733443095,1
57,HI5,Hunan,Total,0.220620394,0.220620426,10.28081266,1.332063223,22.20772216,0.625805208,1
58,HI2,Hunan,Total,0.390933762,0.390933784,30.66930765,4.895972325,4.567514006,0.862643027,1
59,SI1,Shanghai,Total,0.224658251,0.22465822,24.71952672,0.868586185,5.812698262,0.859542778,1
60,SI4,Shanghai,Total,0.999999999,0.101717459,37.56639521,2.161994906,14.57331017,0.538728425,1.727199426
61,SI5,Shanghai,Total,0.289504887,0.289506208,15.59401726,2.165710599,15.35263129,0.502787044,1
62,HI4,Hunan,Total,0.151654981,0.151654871,8.673010377,0.552774311,19.36155048,0.471109438,1
63,GI1,Guangdong,Total,0.982690077,0.962383066,4.81666E-11,39.72734529,19.37324855,0.755349797,1.000054504
64,BI4,Beijing,Total,0.822439377,0.959150504,62.14089257,25.2191504,17.61438059,0.970103909,1.002957232
65,BI2,Beijing,Total,0.017910749,1,17.69204227,0.020825694,19.23593196,0.296468882,3.802969449
66,HI1,Hunan,Total,0.999999974,0.999999998,25.37650087,31.25472924,16.50990602,0.113260776,1
67,BI3,Beijing,Total,0.861939464,0.861939534,100.542808,21.58148113,23.21775134,0.745201592,1
68,SI2,Shanghai,Total,0.355395038,0.355395035,24.14091248,2.913512885,27.64792268,0.620241929,1
69,GI2,Guangdong,Total,0.017147485,0.747483187,23.91021744,3.44415E-09,11.02934444,0.828131255,3.376920085
70,SI3,Shanghai,Total,0.483125475,0.483125809,35.15985079,4.503446253,8.284729428,0.964863844,1
71,BI5,Beijing,Total,0.232864989,0.232864955,13.18772935,1.18661084,13.57795091,0.924172722,1
