lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Akkermansia_dash_muciniphila,beta__Bacteroides_dash_acidifaciens,beta__Bacteroides_dash_uniformis,beta__Parasutterella,beta__Faecalibaculum,beta__Bacteroides,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Alloprevotella,beta__Lachnospiraceae,beta__Escherichia_dash_Shigella,beta__Parabacteroides_dash_goldsteinii,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Oscillospiraceae,beta__Mucispirillum_dash_schaedleri,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Muribaculum,beta__Roseburia,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Clostridia_dash_vadinBB60_dash_group,beta__Colidextribacter,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Oscillibacter,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Parabacteroides,beta__Desulfovibrio,beta__Lactobacillus,beta__Ruminococcaceae,beta__Anaerotruncus,beta__Gastranaerophilales,beta__Helicobacter_dash_mastomyrinus,beta__Alistipes,beta__Bilophila,beta__Lachnoclostridium,beta__Peptococcaceae,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Bacteroides_dash_caecimuris
# Adaptation terminated
# Step size = 0.373977
# Diagonal elements of inverse mass matrix:
# 0.0210511, 1.82043, 0.136385, 0.581051, 0.285891, 0.371914, 0.843244, 0.891372, 0.920548, 0.997793, 0.933215, 0.943373, 1.09702, 0.75231, 0.96573, 0.904686, 0.947076, 0.804305, 0.81007, 0.876024, 0.981599, 1.06153, 0.973217, 0.900225, 1.03705, 1.10776, 0.980944, 1.01494, 1.01561, 1.09343, 0.861208, 0.96794, 0.862674, 0.986777, 0.951009, 0.840794, 0.922123, 0.946595, 0.883483, 0.960308, 1.04123, 0.820458
-1394.32,0.935222,0.373977,4,15,0,1415.78,1.83442,0.998666,-2.12563,-1.21874,1.73058,-0.490443,-1.73832,1.36391,0.0785336,-0.302234,-3.99742,-1.83929,-0.335021,-1.19795,1.90025,2.14369,0.3087,-0.0597592,1.0707,-0.442197,0.0518007,-0.350327,0.124208,0.709874,-0.56338,0.33405,0.799974,1.89813,-1.05375,-0.413229,0.0348962,0.125805,0.955081,0.737198,0.893152,1.21529,0.496855,-3.12389,0.42525,1.67788,1.51158,-0.0196427
-1394.31,0.939185,0.373977,4,15,0,1413.46,1.98676,0.999941,-2.56884,-0.0575569,1.45641,-1.81149,-1.346,-0.373851,-1.08923,0.0032104,-2.23884,0.190682,0.357493,-1.36635,2.64541,1.63548,2.19802,-0.258381,-0.830154,0.107082,0.0250484,1.25063,-0.308529,-0.680089,0.325696,-0.796798,-1.28418,1.78009,0.784361,0.792022,0.294701,0.464167,-0.659392,-0.192482,-0.928927,-1.7107,-0.310341,2.58288,-0.540232,-0.825503,-1.35459,0.571435
-1401.51,0.852068,0.373977,4,15,0,1416.35,2.10312,0.999498,-2.64125,-0.838255,1.97726,-0.889214,-3.34357,0.32913,-0.745635,0.850809,-3.4575,-0.870455,0.0848916,0.343227,3.07818,2.73255,0.897854,-1.15069,0.361177,-0.678422,-1.86854,-0.581367,-0.258061,-1.86652,0.308001,-0.731638,-2.60081,1.06894,-0.19412,2.0838,-2.64698,-0.2126,-0.191854,0.613192,0.250728,-1.12428,0.287879,-0.699024,-0.929886,-0.0265994,-1.10979,-0.710739
-1402.18,0.965735,0.373977,4,15,0,1420.83,1.88993,0.999954,-2.3202,-0.470606,1.35232,-1.56636,-0.221808,0.475947,-0.332853,-0.727808,-2.29476,-1.0745,0.296918,-2.97058,1.59652,1.6708,1.39908,-0.611016,-0.0466928,0.772263,1.81387,1.2923,0.280854,1.86871,-1.44602,0.371817,1.45319,2.73107,0.108738,-2.00437,2.15336,1.22235,-0.680584,0.693473,0.495922,1.63066,0.133577,0.289071,2.04235,1.12773,0.73145,-0.06858
-1402.63,0.978968,0.373977,4,15,0,1424,1.91065,0.999975,-2.477,-0.567106,1.3653,-0.214734,-2.82886,1.39131,0.234908,-0.672097,-3.17625,-0.367522,-1.53255,-0.51813,2.54445,2.15342,1.78297,1.26292,-0.871661,1.2891,0.518148,1.42992,0.0733748,-0.858655,-1.44498,0.87068,-0.746997,1.38437,0.9572,0.866276,0.623634,0.843835,-2.47557,-1.13519,0.284371,1.97617,1.14059,1.05942,-0.98777,0.462135,0.519683,1.13196
-1392.84,0.874847,0.373977,3,7,0,1423.19,1.98357,0.999942,-2.32141,-0.381598,1.08876,-0.553535,-1.60645,1.29471,-0.599225,0.464792,-2.47343,-0.95951,-1.15269,0.271858,2.95997,1.33499,0.410596,-0.608235,-0.540492,0.164411,-0.503224,0.448151,-0.0124782,-0.145584,-1.32406,0.655397,0.0761622,0.865418,1.16312,0.215661,0.503579,0.274272,-2.10284,-0.446031,-0.565462,0.364423,0.0542169,0.224602,-0.395421,1.1508,0.105524,-0.171633
-1397.13,0.894104,0.373977,4,15,0,1407.9,1.91471,0.999473,-1.91851,-0.886234,2.47442,-1.477,-1.51222,0.107369,-0.317879,-0.820034,-2.52862,-0.138664,1.76961,-2.6543,2.51532,1.9202,2.65901,-0.831179,-0.676374,-0.19644,0.845469,1.27593,-0.779838,0.172116,1.5609,-1.0152,0.628048,3.15623,-0.562838,1.21227,1.84437,-0.530873,1.6607,0.549307,0.52757,-0.765108,-1.15369,-0.0708171,0.859455,0.409595,1.10141,-0.559286
-1401.8,0.974113,0.373977,4,15,0,1418.14,1.8527,0.999804,-2.64989,-0.683615,2.60365,-2.61357,-0.840144,0.632241,-0.812655,-0.959436,-4.35355,-0.264694,2.7081,-1.85068,2.49163,1.44519,1.96849,-0.41392,-0.662528,-0.14667,1.60218,2.00039,-0.266533,1.08379,0.967771,0.366429,1.75339,3.26482,0.0471907,0.256706,0.211193,-0.412878,0.475983,-0.72463,-0.357779,1.07752,-1.54575,-0.107543,0.217603,0.848619,-0.523639,1.73157
-1400.57,0.925292,0.373977,4,15,0,1429.58,2.10095,0.999942,-2.86606,-0.0794029,0.915973,-0.752714,-1.3611,-0.153764,-1.11563,0.148378,-2.40178,-1.44494,-2.3298,-1.62165,2.021,2.00273,0.79006,0.077823,0.96158,-0.586981,-0.722452,-1.086,-0.0728476,-0.332139,-1.04082,-0.890891,-1.04542,-0.287731,-0.657326,0.47004,-0.173411,-0.0625726,-0.732369,0.513934,-0.209625,-1.84064,1.19771,-1.80742,1.39813,0.0353712,1.42974,-0.900815
-1393.3,1,0.373977,4,15,0,1412.93,1.73498,0.999779,-1.80454,-0.172561,1.97566,-0.655408,-2.3169,0.454614,0.655424,-1.09887,-2.90512,-0.49538,1.8054,-1.28874,2.97896,1.32448,0.919669,-1.0296,-1.18204,-0.185615,0.621579,2.34436,0.945114,0.385787,-1.15724,-0.294426,0.555373,2.37896,-0.874628,-0.249813,0.49602,0.278284,0.726247,-0.328593,0.262588,0.679009,-0.804117,0.813023,-0.891731,0.940731,1.15056,0.878929
-1403.59,0.857215,0.373977,3,15,0,1416.04,1.83201,0.999328,-2.12366,-2.04566,2.2847,-1.45011,-1.70397,1.3053,-0.921739,1.17352,-3.33246,-0.526989,0.792443,-1.36381,2.66281,3.27374,0.446452,0.80618,-0.829532,-0.169729,-2.03709,-1.61894,1.43608,-1.27089,-0.0192955,0.691885,-1.95069,1.84821,0.878415,0.941955,0.847,1.02697,0.64029,-0.955199,-0.791347,-1.3074,-0.354841,-1.79072,-1.75911,0.562671,-1.26428,1.6366
-1412.03,0.903655,0.373977,4,15,0,1434.69,1.91485,0.999766,-2.12802,-0.808756,2.3881,-1.04497,-3.46326,-1.22066,-0.00828834,-1.59228,-1.21017,-0.998114,0.109288,-0.0649469,1.71231,1.31223,0.666124,1.17626,-0.258109,-1.08654,2.68893,0.134595,-0.109023,-1.02597,-0.745033,-1.61438,1.99069,1.279,-0.63732,-0.875738,1.28804,0.0487015,-0.584999,0.728116,-1.19399,-0.71517,-0.194157,0.849217,-0.537381,4.99119,1.45572,0.905118
-1396.81,0.994588,0.373977,4,15,0,1429.28,2.27632,0.999853,-2.29711,-1.76256,1.4153,-0.648837,-2.53257,-1.60388,-0.323392,-0.0716207,-4.60393,-0.552644,0.0276943,-1.80699,2.22027,2.68386,0.0630473,-0.736934,-0.654839,1.24078,-0.665364,0.401695,0.402022,0.470347,0.517653,-0.138704,-2.05332,1.8872,0.331638,-0.355041,-0.213694,0.136562,-1.48865,-0.470344,0.762875,-0.50319,1.31809,-0.678683,-0.231215,1.34565,-0.57243,1.51278
-1399.03,0.955844,0.373977,4,15,0,1414.97,2.08954,0.998744,-2.13867,-1.36965,1.51098,-1.28498,-2.12592,0.583991,-2.38521,0.442571,-3.5117,-0.0176103,-0.519328,-2.53222,2.16518,0.960625,-0.429253,-1.14345,-1.80164,1.20422,-0.875427,0.407546,-0.637403,1.30555,0.527092,-1.10324,-0.0147718,1.2433,0.673853,-0.450808,-0.28438,0.836155,0.0530342,-0.36171,-0.40769,-1.31403,0.777478,-0.900276,-0.363566,-0.0510377,-1.6694,2.06059
-1398.6,0.931718,0.373977,4,15,0,1419.51,1.76511,0.999957,-2.3799,-0.270411,1.59711,-1.30289,-2.296,0.449414,1.69105,-1.31585,-1.28048,-0.797525,0.0779221,-0.648855,1.98284,2.58823,2.45932,1.89592,0.328867,-0.15332,0.30062,-0.953873,-0.286295,-0.332213,-0.229064,-0.48381,0.31899,2.36121,0.257732,0.998808,1.17479,-0.0670331,0.717233,0.523986,-0.318837,0.919845,-2.06477,-0.253973,-0.672103,1.04591,2.3733,1.10812
-1401.24,0.965341,0.373977,4,15,0,1416.38,2.14054,0.999967,-2.11819,-1.85164,1.92272,-1.61978,-0.913017,0.516768,-2.83553,0.133923,-4.27661,-0.836999,2.02071,-1.30638,3.30539,0.864695,-0.463366,-2.26758,-0.292769,0.0855385,-0.113508,2.45559,-0.379479,0.629552,0.759082,-0.552973,-0.258697,1.06774,-0.615013,-0.00642204,-1.18095,0.711955,0.259007,0.0376898,0.774519,-1.05294,1.14136,-0.188396,0.465189,0.492468,-0.985552,-0.819914
-1400.75,0.989523,0.373977,4,15,0,1421.36,1.5454,0.999531,-1.8876,0.674838,1.35664,-0.546794,-2.53233,0.372631,1.88758,-0.664428,-2.23914,-0.639732,-1.32606,-0.674633,1.03088,2.93546,3.05226,1.57099,0.171481,-0.788593,0.546253,-1.47614,0.115741,-0.955159,-0.847626,0.464534,0.237359,2.43526,0.639729,0.392169,1.40187,-0.35602,-0.0493318,0.16022,-0.47622,0.66529,-1.63183,-0.469401,-0.353008,0.310383,0.547812,1.14835
-1397.39,1,0.373977,3,7,0,1410.58,1.58975,0.999294,-1.96812,0.364131,1.06291,-0.782622,-1.73305,0.377062,2.20625,-0.290128,-2.46004,-1.2126,-0.82414,-1.04471,1.73315,2.83995,2.61865,1.62677,0.146546,-1.49961,0.116057,-0.998251,-1.24255,-0.60335,0.64851,-0.0642093,-0.277781,3.48651,0.553638,-0.032051,1.38269,-0.579164,0.159305,-0.250023,-0.505873,0.727588,-0.926245,-0.100342,-0.410144,0.338961,0.186244,0.815653
-1399.42,0.612944,0.373977,4,15,0,1419.46,2.24152,0.999146,-3.12377,-0.576685,1.37332,-0.512588,-2.59762,-0.403388,-0.138302,-0.253475,-3.81125,-1.45187,-1.18384,-1.74674,1.52941,3.06892,0.649613,-0.787969,-1.37239,-0.373321,-0.138276,0.503421,-1.7932,0.319358,-0.543286,-0.317471,-1.68979,2.92905,-0.879578,-0.531896,0.855271,-0.181383,0.436768,0.177033,1.31999,-1.35615,-2.08101,-0.228101,1.3803,1.8057,0.238511,-1.25141
-1401.89,0.865956,0.373977,4,15,0,1420.52,1.59881,0.999991,-1.98044,-1.03331,1.66109,-2.10174,-1.46202,1.83346,-0.112282,0.46947,-2.4307,-0.362498,1.51647,-0.933901,2.79142,0.74512,1.73443,-0.187188,0.389108,-0.111127,0.0239884,-0.295559,1.04458,-1.29477,0.55623,-0.0696117,1.08293,0.66434,-0.0149114,1.24187,-0.247601,0.869733,0.0556086,-0.643,-1.40616,1.45898,2.00545,0.0589765,-2.14402,0.135363,0.143534,1.32245
-1401.19,0.981817,0.373977,4,15,0,1422.12,2.27746,0.999159,-2.75635,-0.109217,1.53861,0.0304561,-2.53697,0.0321718,-0.655031,-1.16106,-3.69565,-1.47077,-0.473946,-1.51969,1.27341,2.73348,0.512178,-0.584559,-0.619984,-0.286391,-0.119112,0.103126,-1.8919,1.84927,-1.14396,-0.347227,-1.06398,2.37825,-0.0832932,-0.372287,0.618721,-0.582248,-0.0852721,1.28029,2.08554,-1.58924,-1.42001,0.5371,1.74375,0.976877,1.23621,-0.957354
-1407.97,0.744122,0.373977,4,15,0,1435.7,1.65226,0.999974,-1.74104,-0.542781,2.61222,-2.47756,-0.633532,0.684112,-1.97337,1.27323,-3.87393,-0.133558,0.893247,-1.66409,4.37624,1.81707,1.51942,-0.555103,-1.20481,-0.213958,2.89992,0.751321,-2.19347,-1.07638,-1.28437,0.881828,-1.17502,3.0739,0.21281,-0.345833,0.290556,-0.596446,0.356646,0.222501,0.0737273,-0.971417,-0.761074,0.711381,-0.345429,1.49789,-1.6558,-0.768722
-1409.68,0.988357,0.373977,4,15,0,1431.36,2.22097,0.999991,-2.03279,-1.54627,0.581445,-0.886825,-2.55924,-0.287516,0.688746,-1.01625,-2.02454,-2.75636,0.257539,-0.830041,1.34876,-0.309005,1.09446,-0.565838,-0.481758,-0.880921,-2.28967,-0.365929,1.62078,1.05097,1.73312,-1.51805,2.22711,1.53931,-0.929178,0.285425,0.237264,1.93511,-1.33015,0.344791,-1.23471,-0.0811425,-0.392224,-0.0875754,0.858618,-0.406368,1.375,0.387332
-1409.13,0.980373,0.373977,4,15,0,1433.73,1.87835,0.999864,-2.7622,-0.126843,2.88678,-1.91543,-1.36009,1.16437,1.57309,-1.53662,-3.04742,1.19235,0.271151,-1.35196,3.24257,2.93571,-0.955292,2.26633,0.0878431,0.535372,1.85121,0.048811,-1.09475,0.44371,-0.377593,-1.74931,-1.17801,2.19064,-0.293304,-1.96503,0.514444,-0.959808,1.07903,-1.86125,-0.0839138,1.43758,0.639468,-0.188085,-1.36617,1.29473,0.0995411,-0.529312
-1408.87,0.9819,0.373977,4,15,0,1436.08,2.16355,0.999995,-2.28407,-0.779029,0.603425,-0.765462,-2.18299,0.082546,-2.43975,0.485757,-2.63337,-2.65807,-0.34862,-1.0752,1.45283,1.14433,3.05791,-2.74433,-0.201953,-0.810636,-1.50813,0.985853,1.09144,-0.719072,0.153222,1.07764,0.88154,1.70771,0.33774,2.542,-0.296166,1.11532,-0.864331,2.47115,0.110204,-1.7776,-0.856694,-0.433177,1.5748,-0.524044,-0.402438,0.85212
-1404.74,0.909641,0.373977,4,15,0,1430.79,1.68441,0.999996,-2.02824,0.436824,1.81722,-0.671196,-2.34654,1.972,0.963182,-0.866371,-3.67132,-1.7605,1.33628,-2.32866,4.16309,2.11145,1.0158,0.700938,-0.763184,1.72932,1.8473,0.719029,-1.14036,0.782581,-1.596,-0.989706,-1.798,2.6922,-0.420044,-0.129262,-0.734936,-0.700103,1.51951,-0.186918,-0.898603,-0.764638,-0.224968,-0.847176,-0.982963,-0.528861,-0.322631,0.409845
-1400.2,0.898258,0.373977,4,15,0,1423.87,1.88254,0.999333,-2.49732,-1.41563,1.808,-1.14454,-0.436726,0.29743,-0.327382,0.545086,-1.12757,-0.0455217,-0.196617,-0.0111759,0.322979,0.496898,2.78044,-1.27968,0.839848,-1.36771,-0.62627,-0.206903,0.468956,-0.472898,2.49111,0.292489,1.12481,1.98101,0.984209,-0.072603,-0.0894558,1.05921,0.787556,0.493192,-0.84235,-0.0362703,-0.0460862,-0.269556,0.16559,2.34815,-0.655384,-0.878194
-1402.07,0.879431,0.373977,4,15,0,1423.37,2.02715,0.999305,-1.92818,-0.365618,0.688366,-1.50203,-2.58658,-0.34865,1.06538,1.40233,-3.83777,-2.19951,0.660115,-1.55941,2.59807,3.60723,1.14776,0.642487,-1.18859,0.351045,1.03432,0.980457,0.452026,0.522515,-0.726179,-0.455526,0.00222358,2.69937,1.33945,-2.03768,0.644979,1.04221,1.04589,1.71713,-0.277877,1.4279,-1.34539,0.216512,0.550712,-1.34506,-0.927042,1.00854
-1404.54,0.929061,0.373977,4,15,0,1424.35,1.71637,0.999931,-2.13452,-1.61204,1.24729,-0.926354,-0.646666,1.99356,-0.43637,0.116771,-4.12535,-1.61634,-0.059315,-0.0263212,1.63716,3.2564,-0.0281604,-0.530469,-0.405663,-0.640159,0.37018,1.78782,1.24101,-1.02794,-1.02756,1.74197,-0.962739,1.45253,0.126184,1.83453,-0.889033,0.876496,0.627669,2.62678,-0.720816,-0.354705,-1.50957,0.210671,0.955331,-0.578336,-1.69023,1.39845
-1400.24,0.98884,0.373977,4,15,0,1418.71,2.15789,0.999793,-2.35231,-0.631073,2.2926,-2.00988,-2.09158,0.0240594,-0.357048,-0.437135,-1.12383,-0.417141,-0.571152,-2.32208,2.92571,0.153657,2.19041,0.0817568,0.472992,-0.632234,-0.129982,-0.458503,-1.57594,0.486014,0.615691,-1.7569,0.158119,2.12026,0.126756,-0.143588,1.17569,0.0377538,-0.530703,-2.33426,0.933225,0.474343,0.869237,-0.663651,-0.987014,1.79562,0.934545,-1.22549
-1405.46,0.983323,0.373977,4,15,0,1421.22,2.05631,0.999807,-2.50316,-0.661055,0.916064,-0.0144653,-1.29661,2.33007,-1.01979,0.116982,-4.79778,-1.11518,1.0932,-0.365812,0.820673,3.74009,0.802383,-0.466307,-0.792144,-0.0880751,1.21226,1.41981,1.30744,-1.54396,-0.477325,1.25537,-1.47963,0.831701,-0.139537,0.581986,-1.18719,0.203118,0.724004,2.32693,-0.280924,-0.846242,-0.935716,0.606738,1.64226,-0.427177,-1.60382,1.50497
