#OTU ID	SRR6185161	SRR6185162	SRR6185163	SRR6185164	SRR6185165	SRR6185166	SRR6185167	SRR6185168	SRR6185169	SRR6185170	SRR6185171	SRR6185172	SRR6185173	SRR6185174	SRR6185175	SRR6185176	SRR6185177	SRR6185178	SRR6185179	SRR6185180	SRR6185181	SRR6185182	SRR6185183	SRR6185184	SRR6185185	SRR6185186	SRR6185187	SRR6185188	SRR6185189	SRR6185190	SRR6185191	SRR6185192	SRR6185193	SRR6185194	SRR6185195	SRR6185196	SRR6185197	SRR6185198	SRR6185199	SRR6185200	SRR6185201	SRR6185202	SRR6185203	SRR6185204	SRR6185205	SRR6185206	SRR6185207	SRR6185208	SRR6185209	SRR6185210	SRR6185211	SRR6185212	SRR6185213	SRR6185214	SRR6185215	SRR6185216	SRR6185217	SRR6185218	SRR6185219	SRR6185220	SRR6185221	SRR6185222	SRR6185223	SRR6185224	SRR6185225	SRR6185226	SRR6185227	SRR6185228	SRR6185229	SRR6185230	SRR6185231	SRR6185232	SRR6185233	SRR6185234	SRR6185235	SRR6185236	SRR6185237	SRR6185238	SRR6185239	SRR6185240	SRR6185241	SRR6185242	SRR6185243	SRR6185244	SRR6185245	SRR6185246	SRR6185247	SRR6185248	SRR6185249	SRR6185250	SRR6185251	SRR6185252	SRR6185253	SRR6185254	SRR6185255	SRR6185256	SRR6185257	SRR6185258	SRR6185259	SRR6185260	SRR6185261	SRR6185262	SRR6185263	SRR6185264	SRR6185265	SRR6185266	SRR6185267	SRR6185268	SRR6185269	SRR6185270	SRR6185271	SRR6185272	SRR6185273	SRR6185274	SRR6185275	SRR6185276	SRR6185277	SRR6185278	SRR6185279	SRR6185280	SRR6185281	SRR6185282	SRR6185283	SRR6185284	SRR6185285	SRR6185286	SRR6185287	SRR6185288	SRR6185289	SRR6185290	SRR6185291	SRR6185292	SRR6185293	SRR6185294
38f9479d2f37d1036274704b09d2e3c5	4473.0	1591.0	147.0	3379.0	699.0	3031.0	220.0	861.0	938.0	699.0	1346.0	1646.0	1677.0	5213.0	1591.0	259.0	2164.0	2224.0	137.0	950.0	1899.0	1854.0	4493.0	3025.0	1927.0	2696.0	3120.0	2135.0	6219.0	472.0	2127.0	2315.0	3876.0	1581.0	1343.0	1624.0	2372.0	254.0	3898.0	3979.0	2776.0	5777.0	1295.0	2483.0	1909.0	677.0	1003.0	1593.0	7483.0	8684.0	2085.0	1556.0	1520.0	1222.0	1357.0	859.0	4036.0	6166.0	9018.0	2785.0	4943.0	431.0	1516.0	1430.0	742.0	3574.0	524.0	1815.0	3916.0	3552.0	6082.0	2944.0	1658.0	307.0	8887.0	2065.0	1570.0	666.0	177.0	1909.0	6711.0	210.0	7156.0	1883.0	3943.0	1531.0	835.0	627.0	4870.0	3491.0	4022.0	7657.0	2273.0	1078.0	2058.0	2729.0	1455.0	1757.0	2287.0	246.0	1017.0	5659.0	2478.0	1044.0	102.0	6677.0	7443.0	1049.0	4267.0	45.0	1408.0	1554.0	2230.0	2309.0	380.0	2597.0	2091.0	4944.0	1269.0	1107.0	1987.0	9608.0	6602.0	4443.0	970.0	505.0	1510.0	2504.0	220.0	1050.0	325.0	5623.0	1705.0	691.0
ffa2d3d4e030a8f45850c379c0d196f5	13179.0	5856.0	172.0	912.0	3966.0	756.0	0.0	287.0	8419.0	0.0	2492.0	0.0	0.0	2775.0	3026.0	0.0	291.0	0.0	11068.0	13065.0	0.0	3372.0	770.0	0.0	354.0	14634.0	136.0	4267.0	13531.0	0.0	635.0	0.0	0.0	0.0	114.0	2024.0	3876.0	126.0	1506.0	972.0	3405.0	0.0	5122.0	2683.0	594.0	0.0	0.0	0.0	0.0	3074.0	5008.0	997.0	1759.0	2513.0	2328.0	3105.0	364.0	4924.0	0.0	8209.0	0.0	5354.0	282.0	274.0	0.0	1669.0	1293.0	3803.0	3493.0	0.0	1846.0	0.0	4416.0	3312.0	4241.0	0.0	3458.0	109.0	1610.0	3339.0	3664.0	0.0	0.0	1753.0	0.0	1617.0	4733.0	5499.0	421.0	0.0	0.0	1091.0	777.0	630.0	461.0	1379.0	0.0	4613.0	6152.0	5962.0	6903.0	0.0	1396.0	0.0	508.0	9448.0	0.0	1367.0	0.0	22.0	752.0	2048.0	302.0	334.0	1581.0	8122.0	2783.0	0.0	14126.0	7178.0	888.0	0.0	6478.0	5244.0	8013.0	241.0	1464.0	0.0	2418.0	2476.0	687.0	0.0	13511.0	1437.0
f7a1c2a7dc74eb24446faaa79f519ee6	959.0	0.0	0.0	182.0	2157.0	3704.0	1340.0	709.0	2405.0	433.0	1345.0	1853.0	656.0	0.0	2833.0	359.0	118.0	7116.0	0.0	493.0	0.0	2930.0	181.0	3545.0	2929.0	4272.0	3201.0	11070.0	8718.0	742.0	318.0	3456.0	0.0	4224.0	0.0	3441.0	2539.0	453.0	0.0	2482.0	6711.0	2969.0	2287.0	4176.0	1492.0	451.0	570.0	503.0	9791.0	0.0	886.0	68.0	4264.0	0.0	1063.0	557.0	2144.0	1379.0	5153.0	9714.0	182.0	199.0	0.0	585.0	166.0	2850.0	462.0	1083.0	6368.0	2858.0	0.0	999.0	5924.0	195.0	0.0	4899.0	2370.0	455.0	352.0	3341.0	4290.0	1794.0	1141.0	4208.0	11626.0	2086.0	0.0	616.0	1769.0	800.0	662.0	0.0	1739.0	994.0	1535.0	4430.0	0.0	421.0	504.0	0.0	265.0	3241.0	0.0	2931.0	940.0	7280.0	0.0	5803.0	852.0	46.0	668.0	2859.0	991.0	918.0	834.0	670.0	1354.0	6727.0	2514.0	561.0	2376.0	4658.0	20618.0	508.0	576.0	0.0	6226.0	1329.0	137.0	115.0	640.0	5477.0	5435.0	1316.0
0ae1308cf1201de65c4edfcd616e89b2	3059.0	956.0	204.0	2011.0	782.0	1533.0	1279.0	433.0	1398.0	122.0	225.0	3383.0	1469.0	320.0	660.0	1715.0	2767.0	4643.0	87.0	184.0	246.0	1131.0	4421.0	3501.0	2337.0	2955.0	845.0	2785.0	9602.0	2005.0	3067.0	1660.0	528.0	3447.0	1022.0	3066.0	238.0	85.0	2720.0	1370.0	2302.0	1762.0	2293.0	2106.0	242.0	186.0	1332.0	3116.0	3873.0	635.0	514.0	1409.0	2392.0	2174.0	1879.0	1005.0	1906.0	3638.0	4498.0	3130.0	2795.0	4392.0	511.0	302.0	1248.0	395.0	1674.0	617.0	1542.0	2289.0	234.0	1820.0	1192.0	59.0	699.0	2733.0	952.0	99.0	296.0	647.0	3377.0	2430.0	2150.0	3503.0	3236.0	936.0	473.0	4448.0	550.0	7752.0	2689.0	573.0	1922.0	651.0	6700.0	2297.0	716.0	2302.0	1341.0	653.0	1280.0	2912.0	425.0	1885.0	183.0	3788.0	2172.0	3573.0	588.0	28.0	2239.0	1046.0	1317.0	1453.0	2134.0	1140.0	6107.0	3126.0	2248.0	1775.0	765.0	4685.0	6148.0	2506.0	931.0	776.0	2669.0	5246.0	2174.0	223.0	392.0	1637.0	1656.0	1708.0
8a2950244650b024368aa8174145ba33	581.0	529.0	124.0	2026.0	325.0	1462.0	203.0	276.0	355.0	592.0	645.0	2703.0	1134.0	165.0	851.0	95.0	656.0	1404.0	1592.0	1984.0	1699.0	711.0	2143.0	1352.0	649.0	5982.0	1758.0	1324.0	5704.0	137.0	1064.0	706.0	1753.0	1276.0	666.0	1387.0	2830.0	189.0	1277.0	2038.0	3174.0	523.0	1029.0	2387.0	580.0	371.0	502.0	2127.0	4638.0	2197.0	585.0	563.0	939.0	2243.0	1534.0	677.0	2674.0	928.0	1394.0	2476.0	326.0	637.0	57.0	186.0	1507.0	1633.0	1048.0	1199.0	4501.0	1464.0	1199.0	1498.0	2614.0	247.0	1019.0	2403.0	695.0	213.0	89.0	567.0	4858.0	139.0	1115.0	1089.0	1576.0	1812.0	687.0	890.0	2514.0	4616.0	3682.0	1389.0	1493.0	746.0	1261.0	1923.0	377.0	1704.0	375.0	76.0	827.0	322.0	219.0	602.0	808.0	7696.0	543.0	894.0	731.0	49.0	408.0	787.0	2317.0	1828.0	440.0	903.0	2577.0	3220.0	2435.0	1097.0	707.0	982.0	7784.0	1944.0	1247.0	317.0	965.0	2391.0	589.0	167.0	620.0	1218.0	1210.0	394.0
ec39293a8db6cdfc99fecc1decfa59d7	508.0	388.0	240.0	708.0	3355.0	1464.0	136.0	0.0	224.0	402.0	617.0	4284.0	585.0	0.0	1335.0	181.0	1333.0	2986.0	0.0	537.0	424.0	857.0	4618.0	1019.0	1528.0	1765.0	3267.0	840.0	0.0	158.0	2069.0	847.0	372.0	742.0	401.0	409.0	505.0	707.0	599.0	1197.0	1232.0	221.0	1134.0	0.0	1409.0	855.0	1325.0	3930.0	1445.0	0.0	855.0	314.0	3205.0	1634.0	327.0	479.0	846.0	229.0	1796.0	710.0	2398.0	1584.0	730.0	522.0	1957.0	1409.0	1026.0	703.0	786.0	706.0	0.0	1060.0	771.0	504.0	3644.0	1650.0	552.0	108.0	521.0	1146.0	0.0	139.0	5500.0	2105.0	497.0	1226.0	308.0	1550.0	1708.0	5091.0	1339.0	0.0	2752.0	435.0	2798.0	2432.0	2387.0	1483.0	484.0	240.0	3515.0	1856.0	1711.0	563.0	428.0	3308.0	0.0	1005.0	26.0	0.0	866.0	617.0	1216.0	334.0	872.0	689.0	5558.0	2992.0	839.0	1198.0	1609.0	209.0	2629.0	4625.0	1034.0	353.0	1432.0	2151.0	949.0	428.0	1477.0	847.0	2684.0	933.0
2e9f1c3013022ced2c0c9567d59fc064	1994.0	107.0	84.0	914.0	262.0	112.0	1399.0	0.0	464.0	3217.0	41.0	73.0	98.0	1094.0	41.0	1096.0	5415.0	1323.0	637.0	1429.0	0.0	1638.0	555.0	2164.0	4281.0	2537.0	35.0	3025.0	0.0	2408.0	553.0	564.0	0.0	2776.0	453.0	996.0	173.0	180.0	1105.0	313.0	2848.0	299.0	678.0	0.0	45.0	667.0	99.0	0.0	422.0	7772.0	417.0	4616.0	1287.0	2452.0	893.0	556.0	248.0	939.0	521.0	957.0	3639.0	4368.0	92.0	2634.0	0.0	28.0	275.0	1904.0	1293.0	694.0	3563.0	323.0	1995.0	78.0	0.0	3469.0	2611.0	10.0	55.0	929.0	0.0	1856.0	3541.0	2746.0	1322.0	1043.0	1188.0	862.0	66.0	0.0	252.0	2892.0	1108.0	545.0	862.0	1343.0	859.0	1416.0	2649.0	36.0	53.0	3142.0	0.0	2013.0	231.0	524.0	1454.0	3358.0	384.0	18.0	211.0	2012.0	450.0	491.0	867.0	1458.0	237.0	2081.0	396.0	332.0	1826.0	1153.0	6776.0	445.0	213.0	120.0	2498.0	2216.0	1521.0	355.0	550.0	1043.0	1364.0	111.0
547f7f631b685c5f07486e3170f16ea4	554.0	820.0	48.0	53.0	470.0	1463.0	761.0	58.0	395.0	166.0	639.0	410.0	432.0	1032.0	920.0	608.0	458.0	730.0	2818.0	1160.0	1419.0	1154.0	1505.0	574.0	617.0	1846.0	1902.0	1881.0	2096.0	895.0	1002.0	546.0	1251.0	563.0	1270.0	7032.0	2354.0	136.0	436.0	1295.0	993.0	831.0	501.0	388.0	313.0	123.0	395.0	444.0	2083.0	2252.0	1608.0	845.0	939.0	2088.0	994.0	359.0	386.0	1092.0	2240.0	1208.0	821.0	822.0	334.0	940.0	84.0	1399.0	583.0	420.0	4100.0	1842.0	1496.0	1201.0	605.0	64.0	932.0	587.0	810.0	238.0	82.0	625.0	863.0	830.0	660.0	1744.0	1818.0	3869.0	1529.0	1246.0	1781.0	591.0	1822.0	1502.0	644.0	621.0	870.0	1300.0	353.0	1164.0	829.0	1585.0	686.0	278.0	424.0	404.0	1205.0	6893.0	102.0	1968.0	2500.0	16.0	403.0	835.0	667.0	245.0	668.0	1326.0	1291.0	1221.0	2616.0	869.0	988.0	1540.0	2448.0	1522.0	1183.0	240.0	1387.0	458.0	586.0	1154.0	1822.0	2342.0	1259.0	380.0
361d5fcf93ca753fe4872c98a62972b3	405.0	1589.0	150.0	1618.0	1624.0	295.0	1222.0	118.0	273.0	705.0	684.0	1641.0	1388.0	25.0	307.0	275.0	1157.0	1111.0	213.0	2661.0	2188.0	421.0	330.0	2170.0	2080.0	912.0	470.0	830.0	2436.0	195.0	305.0	236.0	755.0	438.0	725.0	853.0	582.0	258.0	1680.0	2827.0	1067.0	113.0	274.0	1695.0	515.0	1618.0	671.0	1731.0	1106.0	17.0	688.0	1161.0	351.0	602.0	427.0	703.0	2479.0	5801.0	408.0	3369.0	593.0	264.0	648.0	1746.0	473.0	729.0	3407.0	315.0	2095.0	1006.0	6.0	2863.0	1179.0	1685.0	983.0	313.0	200.0	115.0	145.0	654.0	1893.0	316.0	1665.0	116.0	857.0	1945.0	4069.0	406.0	254.0	3886.0	1160.0	30.0	371.0	153.0	2170.0	484.0	176.0	1372.0	3785.0	779.0	615.0	1110.0	338.0	183.0	402.0	1485.0	2283.0	166.0	126.0	48.0	215.0	204.0	2331.0	437.0	417.0	1376.0	799.0	866.0	832.0	654.0	228.0	2358.0	2104.0	3846.0	632.0	215.0	174.0	2171.0	105.0	3040.0	700.0	901.0	2427.0	138.0
cd4a4cd5016bf44fe442b7072a21e1eb	1856.0	813.0	0.0	3337.0	1076.0	0.0	2396.0	252.0	1791.0	1432.0	0.0	706.0	1109.0	2950.0	0.0	1146.0	0.0	1017.0	2644.0	1214.0	0.0	0.0	0.0	1749.0	1654.0	4179.0	0.0	376.0	4907.0	576.0	0.0	224.0	0.0	579.0	0.0	2381.0	1088.0	0.0	2559.0	1492.0	385.0	222.0	1563.0	2224.0	0.0	516.0	831.0	3404.0	0.0	1115.0	428.0	0.0	229.0	695.0	1484.0	1159.0	301.0	6466.0	499.0	557.0	0.0	1683.0	0.0	0.0	135.0	0.0	1087.0	2339.0	1626.0	0.0	1050.0	2568.0	1043.0	424.0	1144.0	378.0	284.0	0.0	0.0	0.0	1439.0	491.0	0.0	1423.0	0.0	2394.0	0.0	1773.0	0.0	375.0	611.0	764.0	335.0	546.0	440.0	520.0	24.0	1789.0	0.0	401.0	1225.0	833.0	0.0	150.0	237.0	1414.0	0.0	2106.0	225.0	0.0	391.0	140.0	2186.0	256.0	206.0	286.0	839.0	224.0	1656.0	862.0	0.0	5071.0	1052.0	5476.0	1000.0	0.0	1120.0	0.0	1095.0	0.0	3908.0	0.0	701.0	311.0
