,SCFA,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap
0,Acetate,200,sqrt,10,5,4,False
1,Butyrate,200,sqrt,30,2,1,True
2,Propionate,200,auto,20,5,2,True
