,SCFA,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap
0,Acetate,200,sqrt,20.0,2,1,True
1,Butyrate,200,sqrt,20.0,2,1,True
2,Propionate,200,sqrt,,2,1,True
