,SCFA,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap
0,Acetate,200,auto,30,2,2,True
1,Butyrate,200,auto,30,5,2,True
2,Propionate,1100,auto,20,2,4,True
