SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Bacteroides_dash_uniformis,Parasutterella,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae,Lachnospiraceae_dash_NK4A136_dash_group,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Helicobacter_dash_ganmani,Oscillospiraceae,Lachnospiraceae_dash_bacterium_dash_10_dash_1,Mucispirillum_dash_schaedleri,Muribaculum,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Roseburia,Colidextribacter,Rikenellaceae_dash_RC9_dash_gut_dash_group,Alistipes,Lachnoclostridium,Clostridia_dash_vadinBB60_dash_group,Dubosiella_dash_newyorkensis,Oscillibacter,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Bacteroides_dash_caecimuris,Parabacteroides,Anaerotruncus,Lactobacillus,Ruminococcaceae,Desulfovibrio,mouse_dash_gut_dash_metagenome,Gastranaerophilales,Peptococcaceae,Bilophila
sample142,0.03463767160741493,0.00035160919412895956,0.004305962832366024,0.024462668103379746,4.8325434264169786e-05,0.00554909296895467,0.0007648749768018597,0.004359287449485108,0.0014764253364846353,0.001949681313416505,0.0026845611930888798,6.99885599687976e-05,2.1663125704627835e-05,0.00045825842836712716,0.0,0.0020146706905303886,0.00010498283995319644,0.0004565920340821559,0.0010281652738273366,4.999182854914117e-05,9.998365709828233e-06,0.0006082339140145508,0.0011748079709048172,0.005929030865928141,0.004860872129261492,0.00034661001127404525,0.005787387351705576,5.165822283411252e-05,0.000986505416703052,0.005447442917571413,0.00032328049128444613,0.0002799542398751904,0.0004565920340821559,0.0017180525078054846,0.0012247997994539583,1.1664759994799603e-05,0.00030661654843473253,0.00011331481137805329,4.999182854914117e-05,0.000899852913884541
sample143,0.07839031536391425,0.0010550566691281936,0.054404570114445584,0.020295022669072668,7.903046210698078e-05,0.0011380386543405235,0.005749466118282853,0.11291477273534878,0.0030505758373294586,0.017975478606232782,0.005666484133070524,0.0002805581404797818,0.00033192794084931944,0.018904086535989805,0.010226541796643316,0.0035919345027622795,0.0004504736340097906,0.0007310317744895722,0.0010827173308656367,0.00017386701663535774,7.112741589628273e-05,0.0013751300406614657,0.0023472047245773294,0.016193341685720366,0.027980735108976553,0.001189408454710061,0.005899623996286115,0.0,0.0016122214269824083,0.0006757104510146857,0.001386984609977513,0.021741280125630418,0.0027502600813229315,0.0016043183807717101,0.0019362463216210295,9.483655452837696e-05,0.0007705470055430629,0.0006559528354879405,0.0003714431719028097,0.00027265509426908376
sample144,0.057238768056235574,0.00016919144718759952,0.015194693430117113,0.00750949730978807,9.761045030053819e-05,0.0002928313509016144,0.0037287192014805568,0.007366335316013947,0.003989013735615328,0.025469820165087104,0.010066891107662174,0.0005661406117431216,0.00018220617389433794,0.08037244477746314,0.04195947890252469,0.009767552393407188,0.0002472798074280301,0.006858760974451149,0.00049455961485606,0.00014316199377412267,0.0,0.0026550042481746383,0.0049455961485606005,0.006624495893729857,0.017016755169060493,0.0016919144718759952,0.00040345652790889125,1.3014726706738425e-05,0.006208024639114229,0.0006507363353369213,0.00048805225150269096,0.0016268408383423032,0.008355454545726067,0.00016919144718759952,0.003468424667345789,0.0003839344378487836,0.0,0.00013665463042075347,0.0004099638912622603,0.0006181995185700751
sample145,0.12647828505392367,0.0017803087031628944,0.01017591998697933,0.030499122287428668,0.00011455069403729078,0.0002243284424896944,0.010867997096787962,0.0604923123428593,0.005331380218318909,0.007674896500498482,0.006954181717180524,0.0002529661159990171,0.00018137193222571039,0.021487801023161793,0.010180692932564218,0.005016365809716358,0.018819724441209894,0.001785081648747781,0.0007588983479970515,0.00010977774845240365,2.3864727924435576e-05,0.0021287337308596535,0.0030355933919882054,0.013349928800929263,0.022136921622706446,0.0009402702802227615,0.0031596899771952707,0.0,0.0008782219876192293,0.0002720578983385656,0.0003627438644514209,0.0013793812740323767,0.0016514391723709422,9.068596611285518e-05,0.0016753039002953777,0.000124096585207065,0.00021000960573503308,0.0033696995829303033,0.00031024146301766257,0.00032456029977232377
sample157,0.2833817255574622,0.0012029122770510544,0.09437631321472295,0.16766679455852923,0.008228617315479674,0.023971077984713044,0.012595711886512855,0.012037839526141346,0.0005665891160023083,0.008969541544098082,0.01478361754984484,0.00043583778154023694,0.0002615026689241422,0.0003050864470781659,4.3583778154023727e-05,0.002065871084500724,0.0003312367139705803,0.009954534930379016,0.005360804712944917,0.0007060572060951842,5.2300533784828456e-05,0.0014208311678211728,0.0016387500585912916,0.0031118817601972944,0.002484275354779351,0.0011244614763738117,0.003922540033862135,0.0,0.0008629588074496695,0.00043583778154023694,0.10576039606855393,0.0009762766306501308,0.0006711901835719652,0.0013859641452979537,0.0013423803671439303,0.0,0.0004881383153250654,0.00012203457883126636,0.00043583778154023727,0.0011157447207430068
sample158,0.202835847262543,9.511398037632924e-05,0.19485684113097312,0.0005495474421743468,0.00011625042045995795,0.0005495474421743468,0.012090043727835629,0.003667172354509582,0.0002430690609617303,0.016930288506986607,0.01923416047610214,0.00040159236158894584,0.000528411002090718,0.0009722762438469211,0.0,0.010008104379598199,0.00022193262087810158,0.01718392578799015,0.0010251173440559932,0.00033818304133805964,0.0,0.003455807953673297,0.00288512407141532,0.001955120707735657,0.001902279607526585,0.010769016222608835,6.340932025088616e-05,0.0,0.0025786456902027045,0.019149614715767625,0.03188431986615393,0.004502061737812918,0.005918203223416042,0.0,0.0015852330062721546,0.0,0.004185015136558485,7.397754029270053e-05,0.0015958012263139686,0.004544334617980174
sample172,0.44413094117557,0.005577894678400073,0.007907965855757326,0.2513570655854161,0.00010197248040950773,0.042716272043542794,0.0008922592035831928,0.017355716165698216,0.00016825459267568775,0.006281504793225676,0.004196167568851245,0.00011216972845045849,0.00017845184071663852,0.00021924083288044164,4.07889921638031e-05,0.0007291032349279803,0.00031101606524899865,0.0022331973209682196,0.004950763923881602,0.0,9.177523236855695e-05,0.0003772981775151786,0.0005557500182318171,0.0003721995534947032,0.0006271307545184726,0.0005353555221499157,9.177523236855695e-05,0.000963639939869848,0.0005608486422522928,0.0004078899216380309,0.003671009294742278,0.0006883142427641771,0.00042828441771993234,0.0030081881720804794,0.00013256422453236004,0.0,0.00243204365776676,0.000224339456900917,0.00032121331328994936,0.00032121331328994936
sample173,0.21730035399200845,0.0001806525257085057,0.5058845523329051,0.16774408159878884,0.00022992139635628003,0.010313616922267416,0.003957932608704535,0.040236244362348995,0.0002463443532388715,0.019321608772368815,0.002939709281983867,0.0003695165298583072,0.0003941509651821945,0.0008622052363360501,2.4634435323887145e-05,0.0010757036758097386,0.0009607429776315985,0.00013959513350202715,0.008457822794534586,0.0,9.853774129554858e-05,0.00028740174544534993,0.0007061871459514314,0.0002956132238866457,0.0006815527106275444,0.00103464628360326,0.0,4.105739220647857e-05,0.0005091116633603345,0.0009196855854251201,0.001354893942813793,0.0007143986243927272,0.0009278970638664157,6.569182753036572e-05,8.211478441295716e-05,0.0,0.0017244104726721,0.0007636674950405013,0.0010428577620445558,0.0025455583168016716
sample175,0.4017873216291327,0.05843172165071497,0.06510114908040665,0.21773853317551678,9.707214580886881e-05,0.04158113916354015,0.001935732789953325,0.036459155940566305,0.0002740860587544531,0.012767842236978275,0.001490342944477339,0.0,0.0002855063112025553,0.00154744420671785,0.0,0.000850808807383615,0.0005139113601645995,0.004830766785547238,0.005304707262143479,0.0,3.997088356835775e-05,0.0007251860304544904,0.0013932707986684702,0.0002969265636506576,0.0012733581479633968,0.002729440335096429,0.00010849239825697105,0.001975703673521683,0.001181996128378579,0.000536751865060804,0.0012048366332747837,0.000953591079416535,0.0006338240108696727,0.0010506632252254037,0.00019985441784178874,0.0,0.003283322578829388,0.0,0.0014332416822368278,0.0015931252165102589
sample187,0.49788288348853305,0.0024489028279103225,0.006563787877038448,0.13676530551560137,0.0005826385910269913,0.04779457192018287,0.0015385300294306484,0.0415221033386579,0.00022759319961991842,0.04464468203744319,0.027657125617812486,0.0002458006555895119,0.00026400811155910536,0.0007100907828141453,0.0,0.00650006178114487,0.0008648541585556901,0.021767013611649,0.005261954775212514,0.0,0.0001274521917871543,0.0012836256458563398,0.004051158953234548,0.0002549043835743086,0.0014110778376434942,0.004906909383805441,0.00016386710372634126,0.0018662642368833312,0.007337604755746168,0.0009832026223580476,0.0011379659980995922,0.0006918833268445519,0.0030861637868460925,0.0026764960275302407,0.001147069726084389,0.0,0.00630888349346414,8.193355186317063e-05,0.0022759319961991845,0.0017206045891265834
