,SCFA,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,bootstrap
0,Acetate,200,sqrt,30,2,4,False
1,Butyrate,1100,sqrt,30,2,2,True
2,Propionate,650,auto,10,5,2,True
