,MiceID,Vendor,A1,n,K,Ai,R2
0,BI3,Beijing,3.5380596266555585e-15,9.999988170656444,30.999998896580085,5.745295881271013,-1.5995226519706685
1,GI2,Guangdong,0.5022272443711788,9.999999999999947,23.31915535824076,6.139936998202616,-0.23476649510637526
2,GI3,Guangdong,1.6579623616930692e-15,9.999989084601024,30.99999817907983,6.289933902452167,-2.942600227988142
3,HI5,Hunan,5.097775479693646e-16,9.999994518215713,30.999999351353445,5.609634868871781,-2.239133886668219
4,SI5,Shanghai,3.958264471119824e-16,9.99999676181883,30.999999964562715,5.122238551820799,-2.8534948793765245
5,BI1,Beijing,3.732960308878649e-15,9.999994911997359,30.99999697101304,5.71362705113404,-1.2967517535945907
6,SI2,Shanghai,4.284950374688639e-16,6.180339977276166,23.681892872566728,4.927140905462278,-2.30925212608082
7,SI3,Shanghai,1.5849219166792234,1.587465553817045,30.9999999999999,3.7132517777705685,0.7442089186116985
8,SI4,Shanghai,0.6598603852527887,9.999999999999785,30.97374041731505,4.379241905814683,-0.49783733972343147
9,GI4,Guangdong,3.194382233668416e-16,9.999998090466486,30.99999918951692,6.501075788130004,-2.989577882641909
10,BI2,Beijing,3.627787585344189e-16,9.99999711082847,30.99999984671089,5.930558104144135,-4.182720681429543
11,GI1,Guangdong,0.26530711298258614,9.999999999999966,24.660810941692795,6.33259138007382,-0.9397385472755435
12,HI1,Hunan,5.50970699105697e-16,9.999991402565904,30.99999911349202,5.47963624529873,-4.805139696365313
13,HI4,Hunan,8.0623710833697e-15,9.999977621571027,30.99997437184621,4.680923861644407,-0.6758825355904943
14,SI1,Shanghai,0.6709052458574148,9.99999999453131,30.999999999999645,4.434793776067859,-0.019618007181467556
15,HI2,Hunan,4.0078588457516044e-16,9.999996092405965,30.999999942936054,4.986214343774607,-3.820192703083462
16,BI5,Beijing,3.771972714962452e-15,9.99998286860724,30.9999991715091,6.023738565197128,-2.7448518953291257
17,BI4,Beijing,5.123736543218622e-16,9.99999630346939,30.99999925641382,6.326249454653954,-6.040165223020435
