,l1,l2,l3,l4,mse
16852,0.5994842503189409,0.0774263682681127,6.951927961775606e-06,0.11288378916846883,0.0014808553792082261
18243,0.5994842503189409,1.6681005372000592,0.11288378916846883,1.8329807108324375e-05,0.0014810836017436174
18705,0.5994842503189409,4.6415888336127775,2.06913808111479,0.00012742749857031334,0.0014811391487201686
18711,0.5994842503189409,4.6415888336127775,2.06913808111479,0.04281332398719396,0.0014812821351649573
19109,0.5994842503189409,12.915496650148826,2.06913808111479,0.00615848211066026,0.0014815016111433014
16552,0.5994842503189409,0.027825594022071243,0.0008858667904100823,0.11288378916846883,0.0014815200489854963
18033,0.5994842503189409,1.6681005372000592,2.6366508987303555e-06,0.2976351441631313,0.0014818269403094229
18253,0.5994842503189409,1.6681005372000592,0.11288378916846883,0.2976351441631313,0.0014819841539134432
18412,0.5994842503189409,4.6415888336127775,1e-06,0.11288378916846883,0.0014820310877049128
18553,0.5994842503189409,4.6415888336127775,0.0008858667904100823,0.2976351441631313,0.0014820464550065048
16700,0.5994842503189409,0.027825594022071243,2.06913808111479,1e-06,0.0014820681500191189
18592,0.5994842503189409,4.6415888336127775,0.00615848211066026,0.11288378916846883,0.0014821429401343151
16429,0.5994842503189409,0.027825594022071243,2.6366508987303555e-06,0.00615848211066026,0.001482333807663812
18509,0.5994842503189409,4.6415888336127775,0.00012742749857031334,0.00615848211066026,0.0014823377901409705
18672,0.5994842503189409,4.6415888336127775,0.2976351441631313,0.11288378916846883,0.0014824799738912095
16013,0.5994842503189409,0.01,1e-06,0.2976351441631313,0.0014826884672937762
17502,0.5994842503189409,0.21544346900318834,2.06913808111479,6.951927961775606e-06,0.001482771834642163
17232,0.5994842503189409,0.21544346900318834,2.6366508987303555e-06,0.11288378916846883,0.0014830879829576477
17802,0.5994842503189409,0.5994842503189409,0.01623776739188721,6.951927961775606e-06,0.0014830963929166135
18309,0.5994842503189409,1.6681005372000592,2.06913808111479,0.00615848211066026,0.0014831171180514702
18912,0.5994842503189409,12.915496650148826,0.00012742749857031334,0.11288378916846883,0.001483297423581616
19500,0.5994842503189409,35.93813663804626,2.06913808111479,1e-06,0.0014834435852858006
18029,0.5994842503189409,1.6681005372000592,2.6366508987303555e-06,0.00615848211066026,0.001483476503823284
17901,0.5994842503189409,0.5994842503189409,2.06913808111479,2.6366508987303555e-06,0.0014836474559743454
16284,0.5994842503189409,0.01,0.7847599703514607,4.8329302385717524e-05,0.0014836564205756172
17531,0.5994842503189409,0.21544346900318834,5.455594781168514,0.04281332398719396,0.001483662030509324
17833,0.5994842503189409,0.5994842503189409,0.04281332398719396,0.2976351441631313,0.0014836779850048594
16707,0.5994842503189409,0.027825594022071243,2.06913808111479,0.0008858667904100823,0.0014836961295154882
19432,0.5994842503189409,35.93813663804626,0.04281332398719396,0.11288378916846883,0.0014837720116465112
17712,0.5994842503189409,0.5994842503189409,0.00012742749857031334,0.11288378916846883,0.0014838732470314918
18473,0.5994842503189409,4.6415888336127775,1.8329807108324375e-05,0.2976351441631313,0.0014839682124625758
17333,0.5994842503189409,0.21544346900318834,0.0003359818286283781,0.2976351441631313,0.0014839754107979321
18652,0.5994842503189409,4.6415888336127775,0.11288378916846883,0.11288378916846883,0.0014839804127099823
17481,0.5994842503189409,0.21544346900318834,0.7847599703514607,2.6366508987303555e-06,0.001484009928716004
16551,0.5994842503189409,0.027825594022071243,0.0008858667904100823,0.04281332398719396,0.001484038441304918
17612,0.5994842503189409,0.5994842503189409,1e-06,0.11288378916846883,0.0014840824194691368
18712,0.5994842503189409,4.6415888336127775,2.06913808111479,0.11288378916846883,0.0014840890980214695
18445,0.5994842503189409,4.6415888336127775,6.951927961775606e-06,0.00012742749857031334,0.0014841000648899854
19492,0.5994842503189409,35.93813663804626,0.7847599703514607,0.11288378916846883,0.0014841030728150154
19501,0.5994842503189409,35.93813663804626,2.06913808111479,2.6366508987303555e-06,0.001484173248535082
19233,0.5994842503189409,35.93813663804626,2.6366508987303555e-06,0.2976351441631313,0.0014842226377461605
16912,0.5994842503189409,0.0774263682681127,0.00012742749857031334,0.11288378916846883,0.0014842687823074935
19066,0.5994842503189409,12.915496650148826,0.2976351441631313,0.0003359818286283781,0.001484275670752219
17452,0.5994842503189409,0.21544346900318834,0.11288378916846883,0.11288378916846883,0.0014843361174983081
18302,0.5994842503189409,1.6681005372000592,2.06913808111479,6.951927961775606e-06,0.0014843659988994394
16652,0.5994842503189409,0.027825594022071243,0.11288378916846883,0.11288378916846883,0.001484393836205384
17131,0.5994842503189409,0.0774263682681127,5.455594781168514,0.04281332398719396,0.0014844128760588856
16213,0.5994842503189409,0.01,0.01623776739188721,0.2976351441631313,0.0014844753734554145
17512,0.5994842503189409,0.21544346900318834,2.06913808111479,0.11288378916846883,0.0014845398134101337
