,PerturbationType,SCFA,Permutation,PredictionType,SampleID,Day,ObservedValue,PredictedValue
74,intrapolation,Acetate,A,train,sample82,13,8.847588219,13.021592449191392
75,intrapolation,Acetate,A,train,sample336,8,26.51985873,22.269318962193918
76,intrapolation,Acetate,A,train,sample473,8,13.65093667,15.774583068275478
77,intrapolation,Acetate,A,train,sample205,8,16.86592811,17.032392860452354
78,intrapolation,Acetate,A,train,sample517,25,20.395614899999998,22.289149076476612
79,intrapolation,Acetate,A,train,sample354,13,9.770949957000001,12.90591235638041
80,intrapolation,Acetate,A,train,sample126,31,10.42483248,12.532065690723051
81,intrapolation,Acetate,A,train,sample351,13,16.1720715,15.708177767416368
82,intrapolation,Acetate,A,train,sample158,1,36.22477671,30.8746701326083
83,intrapolation,Acetate,A,train,sample175,3,18.56934828,17.898068226085538
84,intrapolation,Acetate,A,train,sample202,8,16.02339091,16.168589577640653
85,intrapolation,Acetate,A,train,sample262,31,13.88256768,14.930521301250822
86,intrapolation,Acetate,A,train,sample518,25,28.13967236,24.85322906163913
87,intrapolation,Acetate,A,train,sample84,13,9.274994238,13.087837770877409
88,intrapolation,Acetate,A,train,sample76,10,33.06675175,28.543266645149156
89,intrapolation,Acetate,A,train,sample97,19,14.34710811,14.109997170650539
90,intrapolation,Acetate,A,train,sample519,25,21.66765592,22.178606575719954
91,intrapolation,Acetate,A,train,sample532,31,12.0489757,15.359729238819376
92,intrapolation,Acetate,A,train,sample96,19,11.23065592,11.871126325266703
93,intrapolation,Acetate,A,train,sample65,5,19.02693735,19.916283142134894
94,intrapolation,Acetate,A,train,sample487,13,14.65566869,16.121619874077695
95,intrapolation,Acetate,A,train,sample370,19,10.17972657,12.005170761059246
96,intrapolation,Acetate,A,train,sample396,31,9.717617225,12.002292670378939
97,intrapolation,Acetate,A,train,sample250,25,14.63773858,15.375739948143867
98,intrapolation,Acetate,A,train,sample247,25,14.32081293,14.544307193382206
99,intrapolation,Acetate,A,train,sample172,3,10.49036403,13.349361287250577
100,intrapolation,Acetate,A,train,sample366,19,10.19284449,12.632490883446865
101,intrapolation,Acetate,A,train,sample62,5,28.31904884,25.561676153164075
102,intrapolation,Acetate,A,train,sample399,31,13.68356052,14.437555693476922
103,intrapolation,Acetate,A,test,sample322,5,20.87640451,14.583251630331864
104,intrapolation,Acetate,A,test,sample113,25,8.892579697,11.79714372495915
105,intrapolation,Acetate,A,test,sample216,13,14.03788356,17.16981937264651
106,intrapolation,Acetate,A,test,sample456,5,21.07515725,25.25301183397362
107,intrapolation,Acetate,A,test,sample307,3,19.63605011,18.345418067417185
108,intrapolation,Acetate,A,test,sample261,31,25.22553886,16.618835189465894
109,intrapolation,Acetate,A,test,sample486,13,16.85150231,23.87119807574894
110,intrapolation,Acetate,A,test,sample48,2,19.14983255,20.600180166196157
111,intrapolation,Acetate,A,test,sample382,25,14.67468484,14.517021211035276
112,intrapolation,Acetate,A,test,sample292,1,13.41376931,17.170559108269934
113,intrapolation,Acetate,A,test,sample201,8,10.35320702,17.61683019926212
114,intrapolation,Acetate,A,test,sample441,3,19.31010122,19.260157733289944
115,intrapolation,Acetate,A,test,sample231,19,18.51233557,16.494090295720223
116,intrapolation,Acetate,A,test,sample78,10,10.60016025,18.004358654381278
117,intrapolation,Acetate,A,test,sample531,31,26.72767261,20.344509441212438
118,intrapolation,Acetate,A,test,sample501,19,22.76782085,23.871884648709024
119,intrapolation,Acetate,A,test,sample156,1,14.94481013,20.478946816634014
120,intrapolation,Acetate,A,test,sample186,5,16.24623832,15.959948502415328
121,intrapolation,Acetate,A,test,sample98,19,13.51020888,16.206290189230405
122,intrapolation,Acetate,A,test,sample83,13,8.158937509,17.724307897327993
123,intrapolation,Acetate,A,test,sample337,8,18.10666769,14.400775744460189
124,intrapolation,Acetate,A,test,sample516,25,25.73044846,22.727528264771752
125,intrapolation,Acetate,A,test,sample246,25,13.95237315,15.174927079293319
126,intrapolation,Acetate,A,test,sample471,8,24.67491995,18.89559758985328
127,intrapolation,Acetate,A,test,sample367,19,12.41786636,14.19243874939735
128,intrapolation,Acetate,A,test,sample352,13,12.28428421,14.20768612388399
129,intrapolation,Acetate,A,test,sample128,31,8.120739373,16.100024251266582
130,intrapolation,Acetate,A,test,sample171,3,32.23625077,15.99688981904537
131,intrapolation,Acetate,A,test,sample63,5,17.7367014,23.261071953036414
132,intrapolation,Acetate,A,test,sample397,31,16.69140833,13.515061346819707
133,intrapolation,Acetate,A,test,sample426,1,8.228369377,17.58737838387844
134,intrapolation,Propionate,A,train,sample428,1,11.32020113,11.122797965361206
135,intrapolation,Propionate,A,train,sample533,31,10.47271533,10.151623721808633
136,intrapolation,Propionate,A,train,sample504,19,12.41079812,11.366313733226708
137,intrapolation,Propionate,A,train,sample232,19,5.143903656,6.642741435898003
138,intrapolation,Propionate,A,train,sample306,3,4.979156292,7.0853711465781934
139,intrapolation,Propionate,A,train,sample114,25,5.297691781,5.786798468021331
140,intrapolation,Propionate,A,train,sample384,25,10.05269934,10.037054885332147
141,intrapolation,Propionate,A,train,sample442,3,12.10326896,11.51406595274028
142,intrapolation,Propionate,A,train,sample444,3,9.452757458999999,10.08194865735709
143,intrapolation,Propionate,A,train,sample129,31,6.482332732000001,7.1229138460472425
144,intrapolation,Propionate,A,train,sample235,19,5.668429405,6.887880253823745
145,intrapolation,Propionate,A,train,sample189,5,9.006324441,9.342627894212168
146,intrapolation,Propionate,A,train,sample263,31,8.284436134,8.31569685960615
147,intrapolation,Propionate,A,train,sample111,25,5.926474708,5.949060348448742
148,intrapolation,Propionate,A,train,sample233,19,9.486621697,8.867709725733873
149,intrapolation,Propionate,A,train,sample100,19,4.2758349319999995,4.922788880787969
150,intrapolation,Propionate,A,train,sample190,5,12.78773871,11.047220452829173
151,intrapolation,Propionate,A,train,sample203,8,7.639116865,8.159493897226104
152,intrapolation,Propionate,A,train,sample234,19,10.1960036,9.486364600635591
153,intrapolation,Propionate,A,train,sample50,2,3.9810160210000003,4.31368319532836
154,intrapolation,Propionate,A,train,sample534,31,6.710636025,8.196160943829774
155,intrapolation,Propionate,A,train,sample49,2,4.960590863,4.9148002898745125
156,intrapolation,Propionate,A,train,sample474,8,13.58906127,11.7569610682535
157,intrapolation,Propionate,A,train,sample340,8,11.3963742,11.177108860859269
158,intrapolation,Propionate,A,train,sample173,3,16.89272701,13.796713937934525
159,intrapolation,Propionate,A,train,sample217,13,9.041563615,8.449713434128304
160,intrapolation,Propionate,A,train,sample188,5,5.279243848999999,6.942738397714775
161,intrapolation,Propionate,A,train,sample295,1,7.191261307,8.523407854397343
162,intrapolation,Propionate,A,train,sample248,25,4.720261389,6.5726378985790666
163,intrapolation,Propionate,A,train,sample489,13,9.756489493,10.024100629997651
164,intrapolation,Propionate,A,train,sample355,13,14.18702087,12.764821551146282
165,intrapolation,Propionate,A,train,sample187,5,9.083936648,9.202221030503521
166,intrapolation,Propionate,A,train,sample46,2,4.4261435339999995,4.965498776180018
167,intrapolation,Propionate,A,train,sample77,10,3.481710617,3.9626771671688394
168,intrapolation,Propionate,A,train,sample294,1,6.645397076,8.208840531166747
169,intrapolation,Propionate,A,train,sample130,31,9.221088311,8.258801879549717
170,intrapolation,Propionate,A,train,sample85,13,4.175590207,4.18789618297834
171,intrapolation,Propionate,A,train,sample115,25,6.220653513999999,6.218752873718626
172,intrapolation,Propionate,A,train,sample443,3,14.44353333,12.80925474015346
173,intrapolation,Propionate,A,train,sample220,13,7.434375222000001,7.8369860787933225
174,intrapolation,Propionate,A,train,sample400,31,10.39543629,9.926427071586678
175,intrapolation,Propionate,A,train,sample429,1,9.273233932,10.020483155587058
176,intrapolation,Propionate,A,train,sample325,5,10.65308729,10.684228566710033
177,intrapolation,Propionate,A,train,sample503,19,6.89928877,8.610891676401302
178,intrapolation,Propionate,A,train,sample79,10,5.109085136,4.679036188467217
179,intrapolation,Propionate,A,train,sample99,19,5.753650639,5.839463935335835
180,intrapolation,Propionate,A,train,sample381,25,8.377137787999999,8.974954504079095
181,intrapolation,Propionate,A,train,sample457,5,12.56070852,11.605957204017484
182,intrapolation,Propionate,A,train,sample310,3,13.3176326,11.585439808802816
183,intrapolation,Propionate,A,train,sample218,13,9.123327973,8.60757790856207
184,intrapolation,Propionate,A,train,sample64,5,3.403768313,3.7683201916001963
185,intrapolation,Propionate,A,train,sample321,5,7.201676311,8.363898624689472
186,intrapolation,Propionate,A,train,sample81,13,3.0817956860000004,3.521530973044931
187,intrapolation,Propionate,A,train,sample264,31,5.617318711,6.779612431468279
188,intrapolation,Propionate,A,train,sample324,5,12.74649643,10.874526672234818
189,intrapolation,Propionate,A,train,sample61,5,2.760612661,3.6738599368763767
190,intrapolation,Propionate,A,train,sample309,3,15.53835448,12.985378574871428
191,intrapolation,Propionate,A,train,sample339,8,19.054494100000003,15.799352685008571
192,intrapolation,Propionate,A,train,sample80,10,2.781224608,3.3699785320600393
193,intrapolation,Propionate,A,train,sample265,31,6.387468704,7.012779496796385
194,intrapolation,Propionate,A,train,sample369,19,13.22348366,11.409320184711781
195,intrapolation,Propionate,A,train,sample219,13,8.009767614,8.343746700405227
196,intrapolation,Propionate,A,train,sample427,1,10.12097794,10.391123371969137
197,intrapolation,Propionate,A,train,sample472,8,11.84426316,10.844016900547667
198,intrapolation,Propionate,A,train,sample488,13,6.325930528,8.37805409410508
199,intrapolation,Propionate,A,train,sample127,31,10.14110892,8.949241700507107
200,intrapolation,Propionate,A,train,sample291,1,13.59646272,11.683494334725076
201,intrapolation,Propionate,A,train,sample502,19,7.85825038,9.179652381761986
202,intrapolation,Propionate,A,train,sample458,5,19.44630079,16.144979585926123
203,intrapolation,Propionate,A,train,sample385,25,12.97392586,11.4391619625522
204,intrapolation,Propionate,A,train,sample157,1,13.78954601,12.094058497904573
205,intrapolation,Propionate,A,train,sample459,5,9.705095735,10.231984825383426
206,intrapolation,Propionate,A,train,sample47,2,5.168721181,5.191544929662288
207,intrapolation,Propionate,A,train,sample112,25,5.781749636,6.144055623856134
208,intrapolation,Propionate,A,train,sample82,13,2.03424602,2.976855547344663
209,intrapolation,Propionate,A,train,sample336,8,11.54114478,10.488902735876561
210,intrapolation,Propionate,A,train,sample473,8,13.32406619,11.864378153329902
211,intrapolation,Propionate,A,train,sample205,8,13.18752654,11.080436313586887
212,intrapolation,Propionate,A,train,sample517,25,7.3833774089999995,8.687423087683092
213,intrapolation,Propionate,A,train,sample354,13,11.434249699999999,11.420550100605826
214,intrapolation,Propionate,A,train,sample126,31,5.334726666,5.916628714180899
215,intrapolation,Propionate,A,train,sample351,13,7.539054501,8.222670054122704
216,intrapolation,Propionate,A,train,sample158,1,20.06945996,16.417441985472145
217,intrapolation,Propionate,A,train,sample175,3,9.241505341,9.316409358116845
218,intrapolation,Propionate,A,train,sample202,8,9.094751511,8.791842350811434
219,intrapolation,Propionate,A,train,sample262,31,5.148518139,6.502145983775668
220,intrapolation,Propionate,A,train,sample518,25,15.06611265,12.634278248846437
221,intrapolation,Propionate,A,train,sample84,13,2.999379171,3.4606790096913933
222,intrapolation,Propionate,A,train,sample76,10,4.092687885,4.240910757645427
223,intrapolation,Propionate,A,train,sample97,19,4.21171397,4.639280087086257
224,intrapolation,Propionate,A,train,sample519,25,8.363230227999999,9.013120021449552
225,intrapolation,Propionate,A,train,sample532,31,5.466427027999999,7.486471825457914
226,intrapolation,Propionate,A,train,sample96,19,6.10082275,5.888536073951579
227,intrapolation,Propionate,A,train,sample65,5,3.011916377,3.4351331149280995
228,intrapolation,Propionate,A,train,sample487,13,8.322028291,9.161432629381379
229,intrapolation,Propionate,A,train,sample370,19,8.709362744,9.60174550678914
230,intrapolation,Propionate,A,train,sample396,31,4.138683807,6.528100117382519
231,intrapolation,Propionate,A,train,sample250,25,5.700256671,6.508842352458815
232,intrapolation,Propionate,A,train,sample247,25,4.949561599999999,6.279600696088663
233,intrapolation,Propionate,A,train,sample172,3,8.574914641,8.970178797538427
234,intrapolation,Propionate,A,train,sample366,19,4.851197165,6.711976997534091
235,intrapolation,Propionate,A,train,sample62,5,5.319100766,4.854113473841857
236,intrapolation,Propionate,A,train,sample399,31,8.571567346,9.779483215084195
237,intrapolation,Propionate,A,test,sample322,5,17.49403869,9.180887670921809
238,intrapolation,Propionate,A,test,sample113,25,6.800795945,6.018829502447965
239,intrapolation,Propionate,A,test,sample216,13,7.152088527999999,8.855192615084393
240,intrapolation,Propionate,A,test,sample456,5,12.74169033,11.704405848953918
241,intrapolation,Propionate,A,test,sample307,3,11.28694315,10.647548749674412
242,intrapolation,Propionate,A,test,sample261,31,4.8534398560000005,7.708686104793619
243,intrapolation,Propionate,A,test,sample486,13,7.188242101,10.599312105827005
244,intrapolation,Propionate,A,test,sample48,2,3.568486283,4.9419073344901365
245,intrapolation,Propionate,A,test,sample382,25,10.69727035,9.950824862104094
246,intrapolation,Propionate,A,test,sample292,1,8.210203866,9.991853427143264
247,intrapolation,Propionate,A,test,sample201,8,8.660390474,9.151269493497335
248,intrapolation,Propionate,A,test,sample441,3,13.40486497,11.04165402312162
249,intrapolation,Propionate,A,test,sample231,19,5.540548278999999,7.931266863788069
250,intrapolation,Propionate,A,test,sample78,10,3.202422691,4.438585266371426
251,intrapolation,Propionate,A,test,sample531,31,9.297623941,9.44130607527122
252,intrapolation,Propionate,A,test,sample501,19,9.899830548999999,10.459834424800567
253,intrapolation,Propionate,A,test,sample156,1,11.38480337,10.37003904378313
254,intrapolation,Propionate,A,test,sample186,5,9.737915792999999,9.105475265104024
255,intrapolation,Propionate,A,test,sample98,19,5.439708323,5.789698400149001
256,intrapolation,Propionate,A,test,sample83,13,2.38945333,4.657413331524099
257,intrapolation,Propionate,A,test,sample337,8,14.175472199999998,9.780022489325578
258,intrapolation,Propionate,A,test,sample516,25,8.08080092,9.612173532235582
