,NCBIID,EC,Forward,Reverse
114,46123,3.1.4.2,318.1818182,318.1818182
115,46123,3.1.4.46,9716.071429,9716.071429
116,46123,2.7.6.5,129317.2691,129317.2691
117,46123,4.2.1.1,3.7,3.7
118,46123,1.1.1.35,162582.0106,7682000
119,46123,2.5.1.90,6771600,10260000
120,46123,2.7.1.1,312.1069182,312.1069182
121,46123,1.1.1.31,2165.562914,2165.562914
122,46123,1.1.1.23,38297.76675,38297.76675
123,46123,3.1.3.15,655.6875,655.6875
124,46123,2.7.1.49,670943.8202,670943.8202
125,46123,1.1.1.3,46782.15223,46782.15223
126,46123,2.7.1.39,4890.10989,13484.84848
127,46123,2.3.1.46,5177.826087,6831.166348
128,46123,2.6.1.9,95.26056338,95.26056338
129,46123,2.4.2.8,5352.112676,5629.62963
130,46123,1.1.1.42,2621.030303,2621.030303
131,46123,4.2.1.19,570,570
132,46123,2.6.1.42,485.0142857,485.0142857
133,46123,1.1.1.205,4324.057377,4324.057377
134,46123,2.5.1.31,263181.8182,191721.8543
135,46123,4.2.1.33,20151.25,20151.25
136,46123,3.2.1.10,21226.04502,21226.04502
137,46123,2.6.1.57,129,300
138,46123,1.2.1.22,60.28782575,4234.972678
139,46123,1.1.1.28,121.6442623,115.9421875
140,46123,1.1.1.27,54.60497667,54.60497667
141,46123,3.1.1.5,19.68503937,19.68503937
142,46123,4.1.1.18,50595.2381,50595.2381
143,46123,1.1.2.3,1046.428571,623.4042553
144,46123,5.3.1.8,0.516131781,0.516131781
145,46123,6.4.1.4,292334.8958,292334.8958
146,46123,2.3.1.85,220059880.2,3062500
147,46123,4.6.1.12,9293.888889,9293.888889
148,46123,2.7.7.60,11486.76471,11486.76471
149,46123,2.5.1.6,484782.6087,78604159323
150,46123,1.5.1.20,17142.85714,17142.85714
151,46123,2.1.1.13,5136986.301,5136986.301
152,46123,1.8.4.13,1609706.25,1609706.25
153,46123,4.2.3.3,22673.5,1744.115385
154,46123,3.2.1.1,58.32833333,58.32833333
155,46123,2.4.1.8,5886.821192,3758.604651
156,46123,3.5.4.9,580.6792453,580.6792453
157,46123,1.5.1.5,248.0963855,248.0963855
158,46123,2.1.1.14,561666.6667,561666.6667
159,46123,6.3.1.5,144910,144910
160,46123,6.3.5.1,33793.10345,61250
161,46123,2.7.4.6,986.8421053,986.8421053
162,46123,2.7.7.1,11224.72222,11224.72222
163,46123,2.4.2.21,22903.125,36645
164,46123,2.4.2.19,5283.5,5283.5
165,46123,3.1.3.5,4304.758065,4304.758065
166,46123,1.1.1.38,1785.714286,1785.714286
167,46123,2.3.3.1,43612.75861,43612.75861
168,46123,2.3.1.54,11154.59883,21033.21033
169,46123,2.6.1.52,16465.86345,16465.86345
170,46123,4.1.1.23,2882.562278,2882.562278
171,46123,4.1.1.17,16851.66498,334000
172,46123,2.4.2.10,32142.14876,69450
173,46123,1.5.1.2,592.9166667,837.0588235
174,46123,2.7.8.13,6661.312504,1544652.174
175,46123,1.8.1.4,276.2331839,276.2331839
176,46123,5.4.2.10,3432144.587,9204.1357
177,46123,1.1.1.95,322.0174588,322.0174588
178,46123,3.1.3.18,291.3776596,291.3776596
179,46123,5.4.2.1,20,20
180,46123,5.4.2.2,341.8421053,521.686747
181,46123,3.1.3.27,1208.333333,1208.333333
182,46123,2.7.4.7,458800,409904.2757
183,46123,2.7.1.33,18186.5625,18186.5625
184,46123,1.2.7.1,2706.766917,2706.766917
185,46123,3.6.1.1,70.48192771,483.4710744
186,46123,4.1.1.36,52125.60002,52125.60002
187,46123,4.1.1.49,5997.931748,3662.77234
188,46123,2.7.9.1,7844.8,1474.586466
189,46123,3.1.7.2,30936.48393,30936.48393
190,46123,1.3.1.12,4658.212291,4658.212291
191,46123,1.3.1.13,4173.366667,4173.366667
192,46123,4.2.1.51,19838181.85,19838181.85
193,46123,2.7.9.2,269.6551724,32857.14286
194,46123,6.3.5.3,2828360,2828360
195,46123,5.3.1.16,50783.80952,50783.80952
196,46123,2.7.6.1,193181.8182,3136.531365
197,46123,2.5.1.19,15255.33333,203404.4444
198,46123,3.1.3.3,293530,293530
199,46123,2.3.1.8,41444.08602,41444.08602
200,46123,3.2.1.41,1025.949367,1025.949367
201,46123,2.7.1.35,670943.8202,670943.8202
202,46123,2.7.1.40,99.5951417,99.5951417
203,46123,2.4.2.2,3334.491018,3334.491018
204,46123,2.7.1.26,48857.14286,62181.81818
205,46123,5.1.3.4,106235.5658,106235.5658
206,46123,4.4.1.21,1635545.455,1635545.455
207,46123,4.1.2.19,45238.09524,45238.09524
208,46123,1.17.4.1,9858.287123,9858.287123
209,46123,1.17.4.2,5241379.31,4457478.006
210,46123,5.1.3.1,48.45306122,48.45306122
211,46123,5.3.1.6,142.2694444,142.2694444
212,46123,1.1.1.76,131.1336717,131.1336717
213,46123,2.7.9.3,8156034.483,8156034.483
214,46123,2.3.1.30,64622.54902,64622.54902
