,Genus,MaxGrowth,FracOpt,MaxSecrFlux,MaxCplexStatus,MinSecrFlux,MinCplexStatus
0,Bacteroides_816,1.0301764690367097,0.0,0.0,1,0.0,1
1,Bacteroides_816,1.0301764690367097,0.01,4.120705876146839,1,0.0,1
2,Bacteroides_816,1.0301764690367097,0.02,8.241411752293677,1,0.0,1
3,Bacteroides_816,1.0301764690367097,0.03,12.362117628440515,1,0.0,1
4,Bacteroides_816,1.0301764690367097,0.04,16.482823504587355,1,0.0,1
5,Bacteroides_816,1.0301764690367097,0.05,20.603529380734194,1,0.0,1
6,Bacteroides_816,1.0301764690367097,0.06,23.324574556552445,1,0.0,1
7,Bacteroides_816,1.0301764690367097,0.07,23.300364543117105,1,0.0,1
8,Bacteroides_816,1.0301764690367097,0.08,23.27477977222203,1,0.0,1
9,Bacteroides_816,1.0301764690367097,0.09,23.248865490011124,1,0.0,1
10,Bacteroides_816,1.0301764690367097,0.1,23.222458547243537,1,0.0,1
11,Bacteroides_816,1.0301764690367097,0.11,23.195687121174636,1,0.0,1
12,Bacteroides_816,1.0301764690367097,0.12,23.16833284161508,1,0.0,1
13,Bacteroides_816,1.0301764690367097,0.13,23.139151417317684,1,0.0,1
14,Bacteroides_816,1.0301764690367097,0.14,23.097441976484244,1,0.0,1
15,Bacteroides_816,1.0301764690367097,0.15,23.054108962138635,1,0.0,1
16,Bacteroides_816,1.0301764690367097,0.16,23.010527087670603,1,0.0,1
17,Bacteroides_816,1.0301764690367097,0.17,22.96671624195003,1,0.0,1
18,Bacteroides_816,1.0301764690367097,0.18,22.92261819975119,1,0.0,1
19,Bacteroides_816,1.0301764690367097,0.19,22.87693677045099,1,0.0,1
20,Bacteroides_816,1.0301764690367097,0.2,22.827372074640493,1,0.0,1
21,Bacteroides_816,1.0301764690367097,0.21,22.777399034356353,1,0.0,1
22,Bacteroides_816,1.0301764690367097,0.22,22.72742599407219,1,0.0,1
23,Bacteroides_816,1.0301764690367097,0.23,22.677452953788,1,0.0,1
24,Bacteroides_816,1.0301764690367097,0.24,22.62747991350386,1,0.0,1
25,Bacteroides_816,1.0301764690367097,0.25,22.576757809103174,1,0.0,1
26,Bacteroides_816,1.0301764690367097,0.26,22.52589113762441,1,0.0,1
27,Bacteroides_816,1.0301764690367097,0.27,22.475024466145697,1,0.0,1
28,Bacteroides_816,1.0301764690367097,0.28,22.424157794666947,1,0.0,1
29,Bacteroides_816,1.0301764690367097,0.29,22.373285069946387,1,0.0,1
30,Bacteroides_816,1.0301764690367097,0.3,22.322347986160025,1,0.0,1
31,Bacteroides_816,1.0301764690367097,0.31,22.26979398795108,1,0.0,1
32,Bacteroides_816,1.0301764690367097,0.32,22.2146629106434,1,0.0,1
33,Bacteroides_816,1.0301764690367097,0.33,22.15830370447593,1,0.0,1
34,Bacteroides_816,1.0301764690367097,0.34,22.09732578142608,1,0.0,1
35,Bacteroides_816,1.0301764690367097,0.35000000000000003,22.018638742336947,1,0.0,1
36,Bacteroides_816,1.0301764690367097,0.36,21.938781366670487,1,0.0,1
37,Bacteroides_816,1.0301764690367097,0.37,21.857675844516365,1,0.0,1
38,Bacteroides_816,1.0301764690367097,0.38,21.773142739713983,1,0.0,1
39,Bacteroides_816,1.0301764690367097,0.39,21.683219872388953,1,0.0,1
40,Bacteroides_816,1.0301764690367097,0.4,21.593269420936245,1,0.0,1
41,Bacteroides_816,1.0301764690367097,0.41000000000000003,21.502555418309925,1,0.0,1
42,Bacteroides_816,1.0301764690367097,0.42,21.402044481570652,1,0.0,1
43,Bacteroides_816,1.0301764690367097,0.43,21.297862292283565,1,0.0,1
44,Bacteroides_816,1.0301764690367097,0.44,21.18879609368867,1,0.0,1
45,Bacteroides_816,1.0301764690367097,0.45,21.06653758424151,1,0.0,1
46,Bacteroides_816,1.0301764690367097,0.46,20.93576693917011,1,0.0,1
47,Bacteroides_816,1.0301764690367097,0.47000000000000003,20.79348374712976,1,0.0,1
48,Bacteroides_816,1.0301764690367097,0.48,20.65117963634892,1,0.0,1
49,Bacteroides_816,1.0301764690367097,0.49,20.495469045372964,1,0.0,1
50,Bacteroides_816,1.0301764690367097,0.5,20.334979112853134,1,0.0,1
51,Bacteroides_816,1.0301764690367097,0.51,20.174430993571796,1,0.0,1
52,Bacteroides_816,1.0301764690367097,0.52,20.012188299404585,1,0.0,1
53,Bacteroides_816,1.0301764690367097,0.53,19.849184140048916,1,0.0,1
54,Bacteroides_816,1.0301764690367097,0.54,19.681904504094152,1,0.0,1
55,Bacteroides_816,1.0301764690367097,0.55,19.510861561233064,1,0.0,1
56,Bacteroides_816,1.0301764690367097,0.56,19.338812782437852,1,0.0,1
57,Bacteroides_816,1.0301764690367097,0.5700000000000001,19.165700276856082,1,0.0,1
58,Bacteroides_816,1.0301764690367097,0.58,18.983890073389603,1,0.0,1
59,Bacteroides_816,1.0301764690367097,0.59,18.79686492576407,1,0.0,1
60,Bacteroides_816,1.0301764690367097,0.6,18.60968238345074,1,0.0,1
61,Bacteroides_816,1.0301764690367097,0.61,18.42246580021067,1,0.0,1
62,Bacteroides_816,1.0301764690367097,0.62,18.235043217004467,1,0.0,1
63,Bacteroides_816,1.0301764690367097,0.63,18.04735807448393,1,0.0,1
64,Bacteroides_816,1.0301764690367097,0.64,17.859408587904063,1,0.0,1
65,Bacteroides_816,1.0301764690367097,0.65,17.671439611354266,1,0.0,1
66,Bacteroides_816,1.0301764690367097,0.66,17.483463247611127,1,0.0,1
67,Bacteroides_816,1.0301764690367097,0.67,17.293842947201917,1,0.0,1
