,Model,InulinFlux,GrowthRate,MaxSecrFlux,MaxCplexStatus,MinSecrFlux,MinCplexStatus
0,Bacteroides_816,0.0,0.0,0.0,1,0.0,1
1,Bacteroides_816,0.0,0.0027471498067367112,1.0988599226946845,1,0.0,1
2,Bacteroides_816,0.0,0.0054942996134734225,2.197719845389369,1,0.0,1
3,Bacteroides_816,0.0,0.008241449420210134,3.2965797680840536,1,0.0,1
4,Bacteroides_816,0.0,0.010988599226946845,4.395439690778738,1,0.0,1
5,Bacteroides_816,0.0,0.013735749033683556,5.494299613473422,1,0.0,1
6,Bacteroides_816,0.0,0.016482898840420267,6.593159536168107,1,0.0,1
7,Bacteroides_816,0.0,0.01923004864715698,7.692019458862792,1,0.0,1
8,Bacteroides_816,0.0,0.02197719845389369,8.790879381557476,1,0.0,1
9,Bacteroides_816,0.0,0.0247243482606304,9.88973930425216,1,0.0,1
10,Bacteroides_816,0.0,0.027471498067367112,10.988599226946844,1,0.0,1
11,Bacteroides_816,0.0,0.030218647874103822,12.087459149641528,1,0.0,1
12,Bacteroides_816,0.0,0.032965797680840535,13.186319072336214,1,0.0,1
13,Bacteroides_816,0.0,0.035712947487577244,14.285178995030897,1,0.0,1
14,Bacteroides_816,0.0,0.03846009729431396,15.384038917725583,1,0.0,1
15,Bacteroides_816,0.0,0.04120724710105066,15.887156271222128,1,0.0,1
16,Bacteroides_816,0.0,0.04395439690778738,15.866740598706855,1,0.0,1
17,Bacteroides_816,0.0,0.046701546714524096,15.845741068505301,1,0.0,1
18,Bacteroides_816,0.0,0.0494486965212608,15.824741538303783,1,0.0,1
19,Bacteroides_816,0.0,0.052195846327997515,15.803742008102262,1,0.0,1
20,Bacteroides_816,0.0,0.054942996134734225,15.782735643431717,1,0.0,1
21,Bacteroides_816,0.0,0.057690145941470934,15.761536342701353,1,0.0,1
22,Bacteroides_816,0.0,0.060437295748207644,15.739763190588361,1,0.0,1
23,Bacteroides_816,0.0,0.06318444555494436,15.71789846717496,1,0.0,1
24,Bacteroides_816,0.0,0.06593159536168107,15.696031634980876,1,0.0,1
25,Bacteroides_816,0.0,0.06867874516841778,15.674163601458593,1,0.0,1
26,Bacteroides_816,0.0,0.07142589497515449,15.652201943666423,1,0.0,1
27,Bacteroides_816,0.0,0.07417304478189121,15.630055361568491,1,0.0,1
28,Bacteroides_816,0.0,0.07692019458862792,15.605133725677305,1,0.0,1
29,Bacteroides_816,0.0,0.07966734439536462,15.577261263432238,1,0.0,1
30,Bacteroides_816,0.0,0.08241449420210133,15.548716044267223,1,0.0,1
31,Bacteroides_816,0.0,0.08516164400883805,15.520169502889097,1,0.0,1
32,Bacteroides_816,0.0,0.08790879381557476,15.491572961510904,1,0.0,1
33,Bacteroides_816,0.0,0.09065594362231147,15.462941640097414,1,0.0,1
34,Bacteroides_816,0.0,0.09340309342904819,15.433986865031839,1,0.0,1
35,Bacteroides_816,0.0,0.0961502432357849,15.403578924209798,1,0.0,1
36,Bacteroides_816,0.0,0.0988973930425216,15.372906958991974,1,0.0,1
37,Bacteroides_816,0.0,0.10164454284925831,15.341783312109175,1,0.0,1
38,Bacteroides_816,0.0,0.10439169265599503,15.31065625289644,1,0.0,1
39,Bacteroides_816,0.0,0.10713884246273174,15.279505958081275,1,0.0,1
40,Bacteroides_816,0.0,0.10988599226946845,15.247065316321343,1,0.0,1
41,Bacteroides_816,0.0,0.11263314207620517,15.213417858597339,1,0.0,1
42,Bacteroides_816,0.0,0.11538029188294187,15.179369494380104,1,0.0,1
43,Bacteroides_816,0.0,0.11812744168967858,15.144967825823713,1,0.0,1
44,Bacteroides_816,0.0,0.12087459149641529,15.110548430575783,1,0.0,1
45,Bacteroides_816,0.0,0.12362174130315201,15.076117814698563,1,0.0,1
46,Bacteroides_816,0.0,0.12636889110988872,15.039875283373739,1,0.0,1
47,Bacteroides_816,0.0,0.12911604091662543,15.00345658461009,1,0.0,1
48,Bacteroides_816,0.0,0.13186319072336214,14.966967108708758,1,0.0,1
49,Bacteroides_816,0.0,0.13461034053009885,14.930272362061732,1,0.0,1
50,Bacteroides_816,0.0,0.13735749033683556,14.893212146568654,1,0.0,1
51,Bacteroides_816,0.0,0.14010464014357227,14.849633546282393,1,0.0,1
52,Bacteroides_816,0.0,0.14285178995030898,14.80489393017801,1,0.0,1
53,Bacteroides_816,0.0,0.1455989397570457,14.759312370648368,1,0.0,1
54,Bacteroides_816,0.0,0.14834608956378242,14.713568025324117,1,0.0,1
55,Bacteroides_816,0.0,0.15109323937051913,14.66782367999986,1,0.0,1
56,Bacteroides_816,0.0,0.15384038917725584,14.622039497910691,1,0.0,1
57,Bacteroides_816,0.0,0.15658753898399255,14.576157129637489,1,0.0,1
58,Bacteroides_816,0.0,0.15933468879072923,14.530200049130473,1,0.0,1
59,Bacteroides_816,0.0,0.16208183859746594,14.483710818219588,1,0.0,1
60,Bacteroides_816,0.0,0.16482898840420265,14.43710569843963,1,0.0,1
61,Bacteroides_816,0.0,0.1675761382109394,14.390235209070424,1,0.0,1
62,Bacteroides_816,0.0,0.1703232880176761,14.34312260527692,1,0.0,1
63,Bacteroides_816,0.0,0.1730704378244128,14.295686493589258,1,0.0,1
64,Bacteroides_816,0.0,0.17581758763114952,14.248095241032631,1,0.0,1
65,Bacteroides_816,0.0,0.17856473743788623,14.200400127512134,1,0.0,1
66,Bacteroides_816,0.0,0.18131188724462294,14.152034907746481,1,0.0,1
67,Bacteroides_816,0.0,0.18405903705135965,14.10316659310123,1,0.0,1
