sample-id	My_sample_ID	TRUEorBLANK	Sample_location	Subject	Cage	Vendor	Day	Group	Method	Batch	Tester	DNA_concentration	sample_DNA_concentration	16S_Copies_mg	Acetate_BJ	Propionate_BJ	Iso-butyrate_BJ	Butyrate_BJ	Iso-valerate_BJ	Valerate_BJ	Total_scfa_BJ	SCFA_Missing	Treat_Day0	Group_trans
sample27	27	True sample	Stool	SR2	Cage2	Shanghai	3	Resistant starch	mBio	11	Liu	109	155.7142857	127372760.3	3.817851431	1.301380792	0.148690325	2.469197836	0.093963705	0.273018189	8.104102279	No	No	Resistant starch
sample28	28	True sample	Stool	SR3	Cage2	Shanghai	3	Resistant starch	mBio	11	Liu	80.5	119.893617	123571950.9	4.747090623	0.772502761	0.04338163	2.082984241	0.026697702	0.138939805	7.811596762	No	No	Resistant starch
sample29	29	True sample	Stool	SR4	Cage2	Shanghai	3	Resistant starch	mBio	12	Liu	115	230	174632371	3.721788711	1.387014352	0.12464608	2.541215462	0.094470104	0.276662357	8.145797065	No	No	Resistant starch
sample30	30	True sample	Stool	SR5	Cage2	Shanghai	3	Resistant starch	mBio	12	Liu	91	167.6315789	151559835.9	6.839395378	1.843253499	0.251570295	2.879551496	0.164412924	0.340143759	12.31832735	No	No	Resistant starch
sample31	31	True sample	Stool	SI1	Cage3	Shanghai	0	Inulin	Other	3	Liu	73.2	91.5	77867846.76	3.651461181	0.721203306	0.06987477	1.166315063	0.045754731	0.158089211	5.812698262	No	Yes	Cellulose
sample32	32	True sample	Stool	SI2	Cage3	Shanghai	0	Inulin	Other	3	Liu	1.1	2.961538462	148748.3172	20.0154278	3.24210555	0.589231016	2.653637517	0.45170869	0.695812109	27.64792268	No	Yes	Cellulose
sample33	33	True sample	Stool	SI3	Cage3	Shanghai	0	Inulin	Other	3	Liu	28.3	45.02272727	33579741.23	5.055756599	1.411050874	0.200770098	1.201653883	0.157067573	0.258430402	8.284729428	No	Yes	Cellulose
sample34	34	True sample	Stool	SI4	Cage3	Shanghai	0	Inulin	mBio	12	Liu	114.4	242.6666667	203372185.1	7.91718273	2.166153562	0.294440607	3.451682331	0.219765938	0.524085003	14.57331017	No	Yes	Cellulose
sample35	35	True sample	Stool	SI5	Cage3	Shanghai	0	Inulin	Other	3	Liu	64.2	104.5116279	72075543.62	10.29078305	2.170059978	0.453388591	1.812848808	0.305119127	0.320431735	15.35263129	No	Yes	Cellulose
sample36	36	True sample	Stool	SC1	Cage1	Shanghai	5	Cellulose	Other	3	Liu	21.1	38.86842105	38700429.93	1.37249183	0.463378187	0.031820234	0.553857504	0.034681655	0.058775302	2.515004711	No	No	Cellulose
sample37	37	True sample	Stool	SC2	Cage1	Shanghai	5	Cellulose	Other	3	Tang	68.6	104.3913043	75691641.63	6.851312053	0.654360512	0.0744213	0.328838597	0.07867398	0.133323888	8.120930329	No	No	Cellulose
sample38	38	True sample	Stool	SC3	Cage1	Shanghai	5	Cellulose	Other	3	Tang	16.2	31.5	29850573.2	7.082886222	1.380342464	0.259299954	2.152518656	0.20126042	0.366931065	11.44323878	No	No	Cellulose
sample39	39	True sample	Stool	SC4	Cage1	Shanghai	5	Cellulose	Other	3	Tang	15	31.81818182	29994591.27	3.211286075	0.883732693	0.086299576	0.78026754	0.077179424	0.082076399	5.120841707	No	No	Cellulose
sample40	40	True sample	Stool	SC5	Cage1	Shanghai	5	Cellulose	Other	3	Tang	16.4	31.02702703	31731287.42	4.489466966	0.773162898	0.10045708	0.442023137	0.091228242	0.145206224	6.041544548	No	No	Cellulose
sample41	41	True sample	Stool	SR1	Cage2	Shanghai	5	Resistant starch	Other	3	Tang	25.4	49.38888889	38752051.11	4.704916065	2.098680437	0.21386895	4.546386322	0.131003925	0.374477029	12.06933273	No	No	Resistant starch
sample42	42	True sample	Stool	SR2	Cage2	Shanghai	5	Resistant starch	Other	3	Tang	52.1	86.83333333	61037995.69	13.59006218	2.748670659	0.350553175	4.490083181	0.240124281	0.663923509	22.08341698	No	No	Resistant starch
sample43	43	True sample	Stool	SR3	Cage2	Shanghai	5	Resistant starch	Other	3	Tang	48.7	89.71052632	60997835.4	7.871273181	2.215774195	0.30585507	4.741116369	0.223164664	0.539989642	15.89717312	No	No	Resistant starch
sample44	44	True sample	Stool	SR4	Cage2	Shanghai	5	Resistant starch	Other	3	Tang	47.1	74.93181818	50687468	7.043346363	3.302557932	0.198368601	5.098838989	0.119904439	0.331654546	16.09467087	No	No	Resistant starch
sample45	45	True sample	Stool	SR5	Cage2	Shanghai	5	Resistant starch	Other	3	Tang	42.8	62.41666667	50712453.11	7.550880147	3.040372879	0.142192038	6.014178454	0.101853475	0.456581698	17.30605869	No	No	Resistant starch
sample46	46	True sample	Stool	SI1	Cage3	Shanghai	2	Inulin	Other	3	Tang	81.2	172.2424242	156562660.2	22.54448084	4.426143534	0.128182021	11.32892535	0.073171455	0.525305906	39.02620911	No	No	Inulin
sample47	47	True sample	Stool	SI2	Cage3	Shanghai	2	Inulin	Other	3	Tang	43.2	72	60183525.34	26.39183115	5.168721181	0.122865215	14.75298909	0.062748087	0.78632768	47.2854824	No	No	Inulin
sample48	48	True sample	Stool	SI3	Cage3	Shanghai	2	Inulin	Other	3	Tang	70.2	122.85	133997039	19.14983255	3.568486283	0.175555264	13.71840558	0.07175776	0.658087009	37.34212445	No	No	Inulin
sample49	49	True sample	Stool	SI4	Cage3	Shanghai	2	Inulin	Other	3	Tang	53.3	88.83333333	69637055.11	24.84679066	4.960590863	0.117282846	15.7306684	0.057563371	0.716376827	46.42927297	No	No	Inulin
sample50	50	True sample	Stool	SI5	Cage3	Shanghai	2	Inulin	Other	3	Tang	32.4	68.72727273	54851902.31	19.72580406	3.981016021	0.106474897	10.2554727	0.048093002	0.635652505	34.75251318	No	No	Inulin
sample51	51	True sample	Stool	SC1	Cage1	Shanghai	8	Cellulose	mBio	14	Liu	17.1	22.30434783	13845376.51	6.3841837	1.745411214	0.240609996	3.068844038	0.168264242	0.324648182	11.93196137	No	No	Cellulose
sample52	52	True sample	Stool	SC2	Cage1	Shanghai	8	Cellulose	Other	3	Tang	58.7	100.2195122	82899248.39	5.268144818	1.015357148	0.084739399	1.462269296	0.082690318	0.247328036	8.160529015	No	No	Cellulose
sample53	53	True sample	Stool	SC3	Cage1	Shanghai	8	Cellulose	Other	3	Tang	21.3	114.6923077	101999766.5	10.71167892	2.58695172	0.382126809	0.829407388	0.288484971	0.395732496	15.19438231	No	No	Cellulose
sample54	54	True sample	Stool	SC4	Cage1	Shanghai	8	Cellulose	Other	3	Tang	39.2	62.36363636	59430303.48	2.799338107	0.579109222	0.055986248	1.39869093	0.04090717	0.09774834	4.971780018	No	No	Cellulose
sample55	55	True sample	Stool	SC5	Cage1	Shanghai	8	Cellulose	Other	3	Tang	26.4	36.96	39821814.47	5.582721881	1.191639866	0.116060278	2.26502871	0.07658404	0.18082495	9.412859725	No	No	Cellulose
sample56	56	True sample	Stool	SR1	Cage2	Shanghai	8	Resistant starch	Other	3	Tang	30.7	65.12121212	57153024.14	5.673015235	2.580922293	0.241312232	5.942951751	0.145415036	0.50425256	15.08786911	No	No	Resistant starch
sample57	57	True sample	Stool	SR2	Cage2	Shanghai	8	Resistant starch	Other	3	Tang	50.9	77.45652174	68618757.23	2.742257575	1.095915996	0.128025528	2.057106308	0.093829783	0.237922457	6.355057647	No	No	Resistant starch
sample58	58	True sample	Stool	SR3	Cage2	Shanghai	8	Resistant starch	Other	3	Tang	27.7	43.08888889	30402475	7.104650839	2.752292614	0.337279898	6.35147667	0.214334642	0.565852854	17.32588752	No	No	Resistant starch
sample59	59	True sample	Stool	SR4	Cage2	Shanghai	8	Resistant starch	Other	3	Tang	72.4	123.6097561	84846464.83	5.491471363	2.308875024	0.311997171	3.315285497	0.212881579	0.39782072	12.03833136	No	No	Resistant starch
sample60	60	True sample	Stool	SR5	Cage2	Shanghai	8	Resistant starch	Other	3	Tang	34.6	62.1025641	44303284.18	5.077495427	2.058436639	0.15972268	2.887533825	0.102487195	0.304165953	10.58984172	No	No	Resistant starch
sample61	61	True sample	Stool	SI1	Cage3	Shanghai	5	Inulin	Other	4	Tang	91.1	122.6346154	86699392.94	34.21815823	2.760612661	0.159746484	8.123417611	0.06126285	0.482896271	45.80609411	No	No	Inulin
sample62	62	True sample	Stool	SI2	Cage3	Shanghai	5	Inulin	Other	4	Tang	82.3	122.5744681	99335896.85	28.31904884	5.319100766	0.145207164	16.01997062	0.083751202	0.681326984	50.56840557	No	No	Inulin
sample63	63	True sample	Stool	SI3	Cage3	Shanghai	5	Inulin	Other	4	Tang	83.6	154	113213697.3	17.7367014	4.10477808	0.079880516	10.38075638	0.088135074	0.557973402	32.94822485	No	No	Inulin
sample64	64	True sample	Stool	SI4	Cage3	Shanghai	5	Inulin	Other	4	Tang	57	81.42857143	76006093.25	15.46261501	3.403768313	0.212789895	13.08056671	0.086616354	0.682015149	32.92837143	No	No	Inulin
sample65	65	True sample	Stool	SI5	Cage3	Shanghai	5	Inulin	Other	4	Tang	52.8	94.76923077	78173605.83	19.02693735	3.011916377	0.177636633	12.77633172	0.084589124	0.66642973	35.74384093	No	No	Inulin
sample66	66	True sample	Stool	SC1	Cage1	Shanghai	13	Cellulose	Other	4	Tang	16.6	31.40540541	38842645.26	2.892536476	0.88532127	0.093710481	0.401540339	0.087312134	0.09508734	4.455508041	No	No	Cellulose
sample67	67	True sample	Stool	SC2	Cage1	Shanghai	13	Cellulose	Other	4	Tang	34.5	50.3125	40837953.15	2.948330324	0.698698908	0.101805917	0.612732412	0.102480939	0.117434312	4.581482812	No	No	Cellulose
sample68	68	True sample	Stool	SC3	Cage1	Shanghai	13	Cellulose	Other	2	Tang	44.1	81.23684211	64172997.42	5.256873898	0.895028097	0.122852168	0.634632536	0.104093653	0.125960827	7.139441179	No	No	Cellulose
sample69	69	True sample	Stool	SC4	Cage1	Shanghai	13	Cellulose	Other	2	Tang	15.5	32.87878788	32220226.64	2.644382807	0.955463614	0.110575575	0.682561621	0.104533153	0.102275458	4.599792229	No	No	Cellulose
sample70	70	True sample	Stool	SC5	Cage1	Shanghai	13	Cellulose	Other	2	Tang	21.9	46.45454545	50304419.65	4.55747209	1.049230303	0.142065588	0.664016844	0.121160023	0.140573878	6.674518725	No	No	Cellulose
sample71	71	True sample	Stool	SR1	Cage2	Shanghai	13	Resistant starch	Other	2	Tang	45.6	88.66666667	74872094.98	11.64196908	3.696527799	0.475018805	4.056336979	0.365716859	0.553523009	20.78909253	No	No	Resistant starch
sample72	72	True sample	Stool	SR2	Cage2	Shanghai	13	Resistant starch	Other	2	Tang	50.5	95.54054054	85375843.03	6.727046608	2.130584601	0.274488354	2.904993352	0.196248332	0.36711826	12.60047951	No	No	Resistant starch
sample73	73	True sample	Stool	SR3	Cage2	Shanghai	13	Resistant starch	Other	2	Tang	53.3	91	59050419.13	12.22143372	3.852017236	0.350854167	5.006038724	0.236983007	0.547557878	22.21488473	No	No	Resistant starch
sample74	74	True sample	Stool	SR4	Cage2	Shanghai	13	Resistant starch	Other	2	Tang	19.1	40.51515152	26482951.34	9.227872835	4.397295432	0.400854426	4.729031927	0.224468708	0.457421282	19.43694461	No	No	Resistant starch
sample75	75	True sample	Stool	SR5	Cage2	Shanghai	13	Resistant starch	Other	2	Tang	29.2	60.11764706	43685112.16	4.553003703	1.609220973	0.238304291	3.484026506	0.145149031	0.308404344	10.33810885	No	No	Resistant starch
sample76	76	True sample	Stool	SI1	Cage3	Shanghai	10	Inulin	Other	2	Tang	88.2	143.5813953	102245911.2	33.06675175	4.092687885	0.2141953	12.48291975	0.130587264	0.607584532	50.59472649	No	No	Inulin
sample77	77	True sample	Stool	SI2	Cage3	Shanghai	10	Inulin	Other	2	Tang	63.9	106.5	72505096.08	20.82558616	3.481710617	0.189856441	8.528681717	0.08389436	0.412772235	33.52250153	No	No	Inulin
sample78	78	True sample	Stool	SI3	Cage3	Shanghai	10	Inulin	Other	2	Tang	78.4	144.4210526	111019895.3	10.60016025	3.202422691	0.111375773	4.340823194	0.097097978	0.297213102	18.64909299	No	No	Inulin
sample79	79	True sample	Stool	SI4	Cage3	Shanghai	10	Inulin	Other	2	Tang	63.9	117.7105263	80555524.58	33.25644024	5.109085136	0.192940523	11.52965378	0.082874764	0.463659155	50.6346536	No	No	Inulin
sample80	80	True sample	Stool	SI5	Cage3	Shanghai	10	Inulin	Other	2	Tang	79.7	150.7837838	112476334.8	21.94218769	2.781224608	0.121192776	12.62249945	0.076892094	0.455906284	37.9999029	No	No	Inulin
sample81	81	True sample	Stool	SI1	Cage3	Shanghai	13	Inulin	Other	2	Tang	59.4	126	94764507.97	8.742147761	3.081795686	0.127950313	10.5320096	0.083317152	0.554563073	23.12178358	No	No	Inulin
sample82	82	True sample	Stool	SI2	Cage3	Shanghai	13	Inulin	Other	2	Tang	84.3	140.5	105080680.7	8.847588219	2.03424602	0.457466716	1.147162395	0.388744938	0.413922349	13.28913064	No	No	Inulin
sample83	83	True sample	Stool	SI3	Cage3	Shanghai	13	Inulin	Other	2	Tang	60.5	128.3333333	135093326.5	8.158937509	2.38945333	0.113810131	8.886857488	0.089682265	0.482771515	20.12151224	No	No	Inulin
sample84	84	True sample	Stool	SI4	Cage3	Shanghai	13	Inulin	Other	2	Tang	65.8	112.3414634	106771654.6	9.274994238	2.999379171	0.106398026	9.193841629	0.091615201	0.560960346	22.22718861	No	No	Inulin
sample85	85	True sample	Stool	SI5	Cage3	Shanghai	13	Inulin	Other	2	Tang	73.4	116.7727273	118020562.5	11.69306023	4.175590207	0.07752552	11.00638573	0.064861401	0.550706642	27.56812973	No	No	Inulin
sample86	86	True sample	Stool	SC1	Cage1	Shanghai	19	Cellulose	Other	2	Tang	18.2	31.07317073	33699984.53	2.019028246	0.64408975	0.070584137	0.757294088	0.066986544	0.116019061	3.674001827	No	No	Cellulose
sample87	87	True sample	Stool	SC2	Cage1	Shanghai	19	Cellulose	Other	2	Tang	36.7	55.84782609	61948627.65	5.140839647	1.325059156	0.110441	0.691045215	0.098731713	0.174950018	7.541066748	No	No	Cellulose
sample88	88	True sample	Stool	SC3	Cage1	Shanghai	19	Cellulose	Other	2	Tang	31.4	42.26923077	58652261.88	6.689272151	0.95748862	0.091330769	0.598314194	0.064323663	0.055265833	8.455995231	No	No	Cellulose
sample89	89	True sample	Stool	SC4	Cage1	Shanghai	19	Cellulose	Other	2	Tang	18.5	37	44645394.67	4.776289807	1.040545207	0.096901291	0.599751172	0.086766324	0.118691473	6.718945276	No	No	Cellulose
sample90	90	True sample	Stool	SC5	Cage1	Shanghai	19	Cellulose	Other	2	Tang	19.9	40.97058824	48015758.24	5.421987037	0.96688702	0.109640093	0.415147852	0.10796048	0.129391706	7.151014188	No	No	Cellulose
sample91	91	True sample	Stool	SR1	Cage2	Shanghai	19	Resistant starch	Other	2	Tang	36	63	56305993.67	4.864546399	2.023220501	0.212605431	3.067058321	0.136993219	0.397301273	10.70172514	No	No	Resistant starch
sample92	92	True sample	Stool	SR2	Cage2	Shanghai	19	Resistant starch	Other	4	Liu	62.4	74.03389831	69588057.31	3.696321359	1.685481977	0.146807148	1.527208006	0.118111633	0.233656927	7.40758705	No	No	Resistant starch
sample93	93	True sample	Stool	SR3	Cage2	Shanghai	19	Resistant starch	Other	4	Liu	57.2	88.97777778	83248951.77	3.94366044	1.579313047	0.094632687	3.42952383	0.078498161	0.317891507	9.443519672	No	No	Resistant starch
sample94	94	True sample	Stool	SR4	Cage2	Shanghai	19	Resistant starch	Other	4	Liu	87.6	133.3043478	153509170	10.14824783	2.725402461	0.327753833	3.66936572	0.200476799	0.500091299	17.57133794	No	No	Resistant starch
sample95	95	True sample	Stool	SR5	Cage2	Shanghai	19	Resistant starch	Other	4	Liu	80.2	103.962963	117798995.4	12.8293921	3.742695472	0.662271339	6.940790224	0.527458455	0.775844764	25.47845236	No	No	Resistant starch
sample96	96	True sample	Stool	SI1	Cage3	Shanghai	19	Inulin	Other	4	Liu	125.8	244.6111111	379489046.5	11.23065592	6.10082275	0.209798918	2.774925085	0.135704579	0.400012062	20.85191932	No	No	Inulin
sample97	97	True sample	Stool	SI2	Cage3	Shanghai	19	Inulin	Other	4	Liu	111	149.4230769	221841550.1	14.34710811	4.21171397	0.230464862	2.860408028	0.174593825	0.496554316	22.32084311	No	No	Inulin
sample98	98	True sample	Stool	SI3	Cage3	Shanghai	19	Inulin	Other	4	Liu	117.8	242.5294118	324290996.4	13.51020888	5.439708323	0.188658507	2.198579475	0.122765039	0.339792507	21.79971273	No	No	Inulin
sample99	99	True sample	Stool	SI4	Cage3	Shanghai	19	Inulin	Other	4	Liu	134.5	224.1666667	307516338.1	14.54726157	5.753650639	0.204760524	3.497492828	0.121619432	0.428968056	24.55375305	No	No	Inulin
sample100	100	True sample	Stool	SI5	Cage3	Shanghai	19	Inulin	Other	4	Liu	80.4	134	155282544.9	11.96629649	4.275834932	0.251829207	2.590949642	0.163435956	0.445845418	19.69419164	No	No	Inulin
sample101	101	True sample	Stool	SC1	Cage1	Shanghai	25	Cellulose	Other	4	Liu	28	32.66666667	39957949.04	3.184016871	0.843814839	0.101362111	0.593676381	0.090068044	0.140916798	4.953855043	No	No	Cellulose
sample102	102	True sample	Stool	SC2	Cage1	Shanghai	25	Cellulose	Other	4	Liu	18.1	34.24324324	34821114.03	5.216657404	1.817306783	0.229639352	1.38537277	0.172333511	0.130837331	8.952147152	No	No	Cellulose
sample103	103	True sample	Stool	SC3	Cage1	Shanghai	25	Cellulose	Other	4	Liu	34.3	41.39655172	42029604.88	4.030872675	1.136777643	0.147974664	1.143812574	0.116097623	0.163277657	6.738812836	No	No	Cellulose
sample104	104	True sample	Stool	SC4	Cage1	Shanghai	25	Cellulose	Other	4	Liu	33.4	55.66666667	73732935.59	6.978550496	2.026252095	0.193546032	1.929198752	0.14851755	0.146557404	11.42262233	No	No	Cellulose
sample105	105	True sample	Stool	SC5	Cage1	Shanghai	25	Cellulose	Other	4	Liu	66.2	94.57142857	78673932.7	6.678017783	2.131414708	0.346927985	1.762227694	0.292884055	0.388412808	11.59988503	No	No	Cellulose
sample106	106	True sample	Stool	SR1	Cage2	Shanghai	25	Resistant starch	Other	4	Liu	66.6	105.9545455	101499981	6.561426757	2.140984673	0.329153448	2.904802191	0.269020621	0.423521925	12.62890962	No	No	Resistant starch
sample107	107	True sample	Stool	SR2	Cage2	Shanghai	25	Resistant starch	Other	4	Liu	81.6	102	104610458.4	4.032209661	1.52916969	0.260936688	2.341699071	0.208057167	0.312017277	8.684089555	No	No	Resistant starch
sample108	108	True sample	Stool	SR3	Cage2	Shanghai	25	Resistant starch	Other	4	Liu	65.1	111.1463415	100625783.9	7.129523163	1.826753071	0.264089323	4.203492747	0.206458968	0.472080935	14.10239821	No	No	Resistant starch
sample109	109	True sample	Stool	SR4	Cage2	Shanghai	25	Resistant starch	Other	4	Liu	84.8	126.2978723	136450442.8	9.963259297	3.424424635	0.488168245	5.682620114	0.299133593	0.6117985	20.46940438	No	No	Resistant starch
sample110	110	True sample	Stool	SR5	Cage2	Shanghai	25	Resistant starch	Other	4	Liu	106.2	126	132244203.8	6.54672592	1.829929519	0.216943558	3.701260329	0.161769089	0.408245599	12.86487401	No	No	Resistant starch
sample111	111	True sample	Stool	SI1	Cage3	Shanghai	25	Inulin	Other	4	Liu	128.8	180.32	219735502.1	9.462275293	5.926474708	0.127661609	3.442438075	0.077586168	0.353638557	19.39007441	No	No	Inulin
sample112	112	True sample	Stool	SI2	Cage3	Shanghai	25	Inulin	Other	4	Liu	128.1	186.8125	282440889.7	8.043746032	5.781749636	0.163821587	2.392897908	0.117563417	0.223279668	16.72305825	No	No	Inulin
sample113	113	True sample	Stool	SI3	Cage3	Shanghai	25	Inulin	Other	4	Liu	115.7	134.9833333	163028063.9	8.892579697	6.800795945	0.100506767	4.202928182	0.052180138	0.316172162	20.36516289	No	No	Inulin
sample114	114	True sample	Stool	SI4	Cage3	Shanghai	25	Inulin	Other	4	Liu	118.2	229.8333333	288010673.2	7.618579932	5.297691781	0.130372452	2.063559773	0.090016367	0.242295642	15.44251595	No	No	Inulin
sample115	115	True sample	Stool	SI5	Cage3	Shanghai	25	Inulin	Other	4	Liu	110.5	161.1458333	150771437.8	8.540466251	6.220653514	0.236302564	2.608122466	0.142651985	0.349566448	18.09776323	No	No	Inulin
sample116	116	True sample	Stool	SC1	Cage1	Shanghai	31	Cellulose	Other	4	Tang	58.5	60.22058824	52087226.4	2.066009762	0.856856711	0.082034062	0.582643716	0.06845048	0.079091881	3.735086612	No	No	Cellulose
sample117	117	True sample	Stool	SC2	Cage1	Shanghai	31	Cellulose	Other	4	Tang	15.4	20.33962264	22233023.67	8.930080024	2.009960309	0.29584136	1.537789809	0.221425566	0.344442011	13.33953908	No	No	Cellulose
sample118	118	True sample	Stool	SC3	Cage1	Shanghai	31	Cellulose	Other	4	Tang	25.1	35.14	42105809.37	3.125989195	0.932184397	0.08839821	0.395970006	0.074655464	0.049744328	4.666941599	No	No	Cellulose
sample119	119	True sample	Stool	SC4	Cage1	Shanghai	31	Cellulose	Other	4	Tang	35	72.05882353	73752583.86	17.16393787	2.544231982	0.366637479	2.215811505	0.203359511	0.194941723	22.68892007	No	No	Cellulose
sample120	120	True sample	Stool	SC5	Cage1	Shanghai	31	Cellulose	mBio	14	Liu	19.5	20.17241379	25363015.04	6.476267299	1.295004945	0.153412891	0.608208104	0.109383436	0.081752504	8.724029179	No	No	Cellulose
