lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.216264
# Diagonal elements of inverse mass matrix:
# 0.110843, 1.37519, 0.222994, 0.532938, 0.45184, 0.713151, 0.350766, 0.824136, 0.504059, 0.810689, 0.447625, 0.732548, 1.06186, 0.825231, 0.519089, 0.835957, 0.929378, 1.03831, 1.04694, 0.945725, 0.993884, 0.782997, 0.987562, 0.917197, 0.873676, 0.842905, 1.24172, 1.00393, 1.07795, 0.939451, 0.941424, 0.932706, 1.1842, 1.09483, 1.01153, 0.974863, 0.892253, 0.973565, 0.963735, 0.929551, 1.03068, 0.875734
-1278.89,0.956559,0.216264,4,31,0,1302.61,3.14355,0.999504,-2.34636,-3.29934,-1.64521,-6.34021,0.72563,3.33245,-5.86252,6.8122,-3.9177,-0.874218,1.22828,-2.70215,-3.51804,4.36663,1.41117,-1.40561,0.373558,4.71069,-0.270895,-0.332459,0.65619,0.132698,-0.178365,1.49079,-1.57062,0.255351,1.9049,0.0371285,0.31788,-0.407116,-1.1859,-1.72897,1.3585,-2.52662,0.332126,-0.112243,0.780803,-1.04179,0.774287,-0.0701266
-1280.01,0.971954,0.216264,4,15,0,1294.55,3.02036,0.999615,-2.50385,-1.99539,1.14605,-6.6424,0.00687819,0.72112,-7.0169,5.81008,-2.50746,-1.05577,-0.273846,-2.97691,-2.45873,4.42516,2.35274,0.944227,-1.92893,5.49705,1.35129,-0.00270589,-0.856827,0.389239,-0.707243,1.39131,1.50246,0.647392,1.64767,-1.75053,0.931478,-0.705569,2.93745,0.698501,-1.09598,0.997536,-0.165047,0.452529,-0.245702,1.3895,0.809532,-0.0945874
-1277.99,0.763802,0.216264,4,15,0,1303.3,2.94614,0.999882,-2.57573,-1.72212,-0.157972,-5.99482,-0.15631,2.03454,-5.97618,6.582,-3.01248,-1.23988,-0.077749,-3.04942,-0.661566,4.5182,2.57226,-1.37661,1.1061,5.05709,0.850014,0.807402,1.39728,-0.659627,0.107354,2.54204,-0.942023,1.22667,2.3815,0.984654,0.449876,0.379651,-0.97947,-1.26824,-1.74379,-0.271227,-0.157137,-1.4168,0.652114,0.707047,1.32809,-1.08987
-1277.7,0.998298,0.216264,4,15,0,1296.46,2.75606,0.999441,-2.41909,-1.75413,-0.544706,-5.53178,0.841197,2.36067,-7.95566,7.76503,-2.77775,0.651624,1.69706,-3.04775,-4.12289,4.64949,1.18723,0.309293,-1.79672,5.39869,0.118871,0.653788,-0.615556,1.44307,-0.603588,0.81726,0.527638,-0.499146,0.416767,-0.369846,0.587408,-0.11341,3.10721,0.483252,2.0315,-0.300857,0.786039,1.56855,-0.345417,0.177175,-1.22112,0.414475
-1285.13,0.728207,0.216264,4,15,0,1302.71,2.90058,0.999752,-2.41798,-0.881006,-0.494791,-6.71696,-0.169293,1.15856,-8.19716,4.77752,-2.35761,-1.61139,0.269088,-0.359257,-1.29336,3.87838,1.64092,-0.134026,2.14512,4.89107,0.217986,1.52345,1.61692,-0.0759097,-1.13938,1.16528,-0.318217,2.16775,1.41775,-0.650517,0.0111646,-0.703318,-0.563951,-0.935322,-1.56696,-1.69511,1.1675,-2.5178,0.35372,1.11581,1.88555,-0.338238
-1278.03,1,0.216264,4,15,0,1306.31,2.89695,0.999874,-2.57632,-3.02332,0.393585,-4.37203,1.01623,1.32425,-6.69044,7.08396,-3.61142,0.393591,0.359953,-2.71173,-2.66033,4.69725,2.15812,1.42059,-1.02705,6.18542,2.43923,-0.185298,-0.360666,0.698955,0.825491,1.27771,1.08222,-0.676326,2.92411,1.3386,0.971929,-0.590735,2.18958,0.999639,1.88741,-0.50781,0.827507,-0.779403,0.247639,0.291212,-0.969322,-0.417157
-1284.37,0.911279,0.216264,4,15,0,1301.84,2.77379,0.999262,-1.99781,-1.91543,-1.48795,-6.30205,0.692263,1.65546,-6.42708,6.01463,-1.73183,-0.970917,0.671496,-2.71039,-2.95712,3.33559,2.73429,-1.39131,0.782612,2.56814,-1.53516,0.789867,-0.0694696,-1.18449,-0.556046,0.881965,-1.75884,0.90844,-0.23047,0.677974,0.462795,-0.779826,0.533672,-1.91452,-0.251496,-0.462424,-0.0618325,-1.52035,0.0642989,-1.1994,3.43765,-0.548903
-1281.27,0.90602,0.216264,4,15,0,1305.91,3.36169,0.999988,-2.50861,-2.27734,-0.661915,-5.8663,-0.021725,1.59736,-7.69309,5.98706,-3.80956,-0.610493,0.502337,-3.62512,-2.79203,2.33799,2.84332,0.399288,1.05278,6.17529,0.557061,-0.813672,0.0726234,1.17582,1.01549,1.00913,0.936707,-1.84569,2.7665,0.516552,0.294792,-0.297357,1.16985,-0.472379,0.883085,-0.00148668,1.59866,1.4427,0.677475,2.00516,-1.12899,-0.840527
-1273.89,0.99609,0.216264,4,15,0,1297.15,2.60264,0.999805,-2.29059,-2.11299,-0.43752,-5.13296,0.680472,2.34544,-7.36534,7.08596,-1.69325,-0.652184,0.224039,-0.897128,-2.74993,5.68294,1.33595,-0.931289,-0.501052,4.15765,1.54662,0.531244,0.527882,1.01455,-0.851145,-1.31135,-0.543852,2.26513,1.42968,-0.0794361,2.10313,-0.408861,0.446331,0.161686,0.88429,0.237911,1.03797,-1.10124,-1.3441,-0.927586,0.596952,0.0587066
-1275.64,0.97799,0.216264,4,15,0,1292.44,3.02763,0.999801,-2.74419,-2.60491,-0.581888,-4.85944,-0.329076,1.4003,-6.57075,5.95903,-3.25724,0.854844,0.730055,-0.659401,-2.67715,3.4043,1.47455,-1.15656,-0.679052,5.83444,1.67765,0.0382755,1.39794,-0.854831,-0.178467,1.4872,1.87597,1.84549,3.64826,0.139139,0.0656657,-0.294003,1.01666,-0.785503,0.353037,-1.69279,1.40044,0.330069,1.031,0.942864,0.154969,0.179069
-1278.04,0.991939,0.216264,4,15,0,1293.58,2.85971,0.998966,-2.37115,-2.48382,-0.585592,-5.42568,-0.0718229,1.18429,-6.63484,7.46951,-2.39487,-0.374308,1.04259,0.1652,-2.42504,4.47693,0.223505,-1.83363,-0.310994,5.01871,1.06422,-0.824556,0.0522989,-0.323752,0.0193912,0.514243,-0.850954,-0.0123435,1.56604,1.84267,-0.126261,-0.908578,0.370126,-0.433086,0.889766,-1.53596,0.615008,1.73488,1.79333,0.281551,-1.46841,-0.642623
-1282.26,0.836089,0.216264,4,31,0,1303.21,2.56438,0.999694,-1.90058,-2.03899,-0.523196,-6.6558,0.83458,2.66662,-5.62484,7.59457,-2.29312,-2.17774,0.426151,-1.20538,-2.52376,3.74505,0.458996,0.396008,0.152206,5.81354,0.153671,-1.80684,-1.36738,-0.617269,0.717124,0.668848,-0.268715,-0.837811,1.40699,0.439465,1.56121,-0.39229,2.66137,-0.523471,1.92343,0.835614,-0.37523,-0.637411,0.707621,-1.08313,-1.91829,-1.73177
-1285.16,0.817855,0.216264,4,15,0,1312.78,2.92169,0.999874,-2.77713,-3.4716,1.17583,-4.63163,-0.234998,1.71533,-6.83347,6.07987,-4.45468,-0.997557,-0.227988,-2.96823,-2.71551,4.33457,3.4847,0.679978,-0.468452,5.56429,0.52047,3.31638,1.3764,1.60273,-0.0558417,1.87415,0.244533,1.49247,0.657737,0.354073,0.973631,-0.487605,0.0587495,-0.336555,-0.207886,-1.09699,1.40323,0.564601,-1.32917,1.13686,2.98538,0.485725
-1281.13,0.997317,0.216264,4,15,0,1308.23,2.47741,0.99932,-2.00546,-1.6455,-0.830416,-6.17422,1.00225,1.50781,-6.94545,6.71761,-1.27777,0.6432,1.75644,-1.54629,-1.24302,3.98221,2.30274,-1.14815,0.125104,4.60502,1.47281,-0.416911,-1.73363,0.490852,0.402517,-0.681224,-0.365912,-0.0575078,2.20188,0.712377,1.05593,0.533763,1.04013,-1.8957,-0.105208,1.0341,0.257789,-2.07658,1.98304,-1.23328,-1.49706,-0.751603
-1277.98,0.997877,0.216264,4,15,0,1297.51,2.52758,0.999593,-2.01656,-0.862208,-0.479865,-6.69657,0.59628,2.06599,-6.4476,6.87578,-2.01485,-0.37214,2.08523,-1.51909,-1.55338,2.44201,3.62996,-0.389374,-0.9447,5.64333,0.206425,-0.624382,-1.69632,-0.774671,0.257349,-0.408783,-1.16859,2.29225,0.957024,0.894817,0.671091,1.18168,1.00451,0.315525,-0.399454,0.909382,-0.0690148,-0.729424,1.99494,0.359605,-0.694541,-0.568684
-1279.83,0.97222,0.216264,4,15,0,1300,2.79623,0.999874,-2.341,-2.98059,0.343393,-4.24141,0.636616,2.57873,-7.83199,6.05899,-2.96479,-0.561692,-0.0852895,-4.17881,-3.29618,4.18457,3.43302,-0.122284,0.423468,6.92601,1.01438,-0.600297,0.672345,0.30734,-0.309195,1.07023,1.36597,-1.02853,2.6916,-1.71599,-1.10972,-0.402072,2.52477,-0.339989,-0.0588725,-1.44347,1.06787,1.31582,0.667172,0.34551,0.717636,0.674499
-1277.03,0.998262,0.216264,4,15,0,1298.17,2.94066,0.999694,-2.08725,-1.88225,-1.04155,-5.86087,0.216256,0.447418,-7.49853,6.49631,-2.40833,-0.772693,2.04293,-1.14197,-2.18549,3.47531,1.40007,-1.34013,-1.04005,4.09227,0.619566,1.33723,-0.766468,0.506923,0.423091,1.40767,-1.15106,1.1153,0.64676,1.95514,2.6842,-0.289706,-0.671025,-0.00372602,0.206609,1.24464,0.67977,-1.65398,-0.808638,-0.0792011,0.0711098,-1.97363
-1274.36,0.98971,0.216264,4,15,0,1293.68,2.9777,0.999749,-2.89685,-1.39793,0.337916,-6.05615,1.42005,1.26795,-7.31555,6.18397,-2.25968,-1.60524,0.397828,-4.13468,-2.98802,4.88553,3.32338,-0.138928,0.494785,4.29442,0.492479,1.40397,1.04074,0.0535102,-0.801742,0.659063,1.72051,1.08646,1.08091,-0.484876,1.02237,-1.12385,1.40395,-0.626515,0.573145,-0.493217,0.72888,-0.593338,-1.58711,-0.726003,0.68911,-1.38845
-1280.07,0.945258,0.216264,4,15,0,1294.52,2.67213,0.998955,-1.61942,-1.65165,-1.08974,-5.26008,0.653551,1.73099,-6.97647,6.57728,-3.81804,-0.99146,2.07271,-1.20879,-1.27705,3.48553,1.97079,-0.80977,-1.04591,4.71958,-0.375843,0.421899,0.599801,-0.674084,-0.0848675,2.03208,-1.70437,-0.0580819,2.72214,0.86987,0.324918,-0.607033,1.14396,-3.32507,0.101102,-1.28201,-0.557392,0.925666,-0.595086,-1.19413,-0.361144,0.812808
-1280.53,1,0.216264,4,15,0,1301.23,2.55683,0.998961,-1.56287,-1.40768,-1.05421,-5.28091,0.722882,1.66136,-7.30364,6.43197,-3.74126,-0.850761,2.06124,-0.963427,-1.37925,3.37262,1.72412,-0.984213,-0.614838,4.5449,-0.200251,0.819324,0.378183,-0.805193,-0.317082,2.27278,-1.63982,-0.259702,2.77077,0.881378,0.244589,-0.519388,1.05652,-3.51022,0.181997,-1.15117,-0.549947,0.933943,-0.563721,-0.996468,-0.854473,0.403536
-1274.37,0.992491,0.216264,4,15,0,1297.99,2.71353,0.999544,-2.59552,-1.60475,0.200642,-5.78201,0.168217,3.0032,-8.07902,6.41494,-2.27493,0.753962,1.94863,-1.41731,-2.47872,3.29603,3.64708,-0.784774,0.428533,5.12575,1.58427,-1.25131,-0.517856,-0.395112,0.0293452,0.0813123,-1.50108,1.70075,0.460022,0.879044,1.02712,-0.63564,0.684791,-0.947603,-1.09008,0.528094,-0.147173,-1.36417,-0.582372,-1.13437,0.147505,-0.467285
-1273.93,0.992684,0.216264,4,15,0,1288.79,2.78712,0.999533,-2.2945,-1.61414,-0.215816,-5.82594,0.754079,1.69268,-6.38056,6.68504,-3.53271,-0.98853,0.242078,-3.06548,-1.66937,4.00997,2.39014,-0.191946,0.453544,4.58183,-0.591895,2.93207,1.26302,1.39946,-1.30541,1.92262,1.42881,-0.0685813,1.86033,-0.00311724,-0.274137,0.564484,1.71313,-0.0776062,1.76238,-0.897819,0.731321,1.0803,1.68641,1.11107,0.167655,-0.920343
-1278.63,0.931076,0.216264,4,15,0,1295.78,2.86933,0.999484,-2.46278,-2.31992,0.708941,-5.8441,-0.236126,1.61593,-6.07842,5.15814,-2.95201,0.539594,0.665669,-1.96423,-2.5072,3.40214,3.96746,-1.56981,0.28242,5.27602,0.941272,-1.00018,-2.3314,0.57701,0.432812,1.87693,-0.799434,-0.171472,2.3084,0.874984,1.82009,-0.505931,0.622019,-1.55575,1.35703,-0.0671874,0.656607,0.385411,-1.12536,-0.556382,1.09861,0.230511
-1284.26,0.941452,0.216264,4,15,0,1304.67,2.52944,0.999535,-1.54005,-1.2358,-1.17157,-6.95218,2.09037,1.72032,-7.16816,6.69835,-2.51257,-1.12951,1.19707,-3.49084,-3.14274,4.90766,0.972294,0.340159,-0.177016,3.11523,1.43668,0.584812,2.23785,-1.98097,-1.071,0.284335,0.983205,2.55869,1.51792,0.145904,0.154986,-0.881655,1.69636,-0.255623,0.241701,-0.911248,0.835349,-0.840166,2.80794,1.12057,0.649058,-1.18142
-1283.96,0.883652,0.216264,4,15,0,1303.86,2.99327,0.999724,-2.16799,-2.61308,0.389858,-4.75636,-0.83299,1.56402,-7.84268,6.4066,-2.46613,-0.896536,0.399654,-2.44246,-1.38458,4.75,3.33126,-0.408052,0.219127,6.07685,-0.148447,0.161114,-3.56116,1.33128,0.806419,0.313616,-1.70002,0.237491,0.986367,-0.527536,0.723067,0.36582,0.741372,-0.210222,-0.316226,0.426256,0.447945,0.76037,-2.58994,-0.236928,0.554314,-0.616248
-1274.25,1,0.216264,4,15,0,1301.12,2.61975,0.999102,-2.47843,-1.89772,0.398078,-4.506,0.331676,2.37379,-7.05681,6.95001,-2.95318,-0.0108869,1.21757,-1.81918,-1.76174,3.04647,1.00818,0.00682213,-0.13918,6.39332,-0.156292,2.02064,-0.404485,1.51615,-0.618426,0.305035,-1.39543,0.452274,1.5825,0.546467,-0.271498,0.137233,2.69319,-0.792012,-0.273115,-0.405429,1.02696,1.43027,-1.21456,0.352749,1.57403,0.416526
