lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.227731
# Diagonal elements of inverse mass matrix:
# 0.0823218, 1.37702, 0.170559, 0.509911, 0.407534, 0.765305, 0.291858, 0.704703, 0.628116, 0.799155, 0.389706, 0.755013, 1.06665, 0.852003, 0.445123, 0.784009, 1.0792, 0.825705, 0.76028, 1.12365, 0.910654, 0.934274, 0.923347, 0.992995, 0.851219, 0.982874, 1.10603, 0.944114, 0.874549, 0.903691, 1.03246, 0.763794, 0.861151, 0.80026, 0.977502, 0.928672, 1.01678, 1.01861, 1.00292, 0.969151, 1.09092, 1.13774
-539.907,0.911603,0.227731,4,15,0,558.735,2.63438,0.999378,-2.07522,-4.24896,-3.06212,-2.35922,1.98104,0.756764,-1.48162,2.13502,-3.09283,-1.2803,1.1361,1.37247,-0.198835,6.37951,1.24862,0.693364,-0.819705,-0.35051,1.19081,-0.442653,-1.29231,-0.128079,0.796667,1.47149,0.00471456,1.60642,0.383925,0.358283,0.680375,-0.658579,3.38825,-0.165363,1.67072,-0.632534,-1.62475,0.382817,0.768803,-0.150152,-0.0301897,-0.442455
-531.714,0.830476,0.227731,4,15,0,560.277,2.84207,0.999356,-3.1477,-4.64172,-1.72205,-1.43828,1.35114,1.18693,-1.52687,1.37685,-1.25257,-1.7322,0.903985,1.79114,-2.59184,5.62094,4.26336,-1.57313,1.39726,1.66987,0.672469,-0.174313,1.44335,-0.72283,-1.94191,-0.0651928,-0.0078124,-0.0821002,-0.475528,0.707194,0.139079,-2.40625,0.577389,1.42081,0.0254051,-0.637173,1.26615,-0.989347,-0.867142,0.306151,0.293289,-0.689804
-529.837,0.937911,0.227731,4,15,0,548.021,2.92899,0.99888,-2.44573,-4.04114,-3.09907,-1.36272,1.41653,-0.607762,-2.87934,0.76579,-2.65586,-1.24703,0.743373,0.0595552,-0.299011,7.08356,1.74513,0.0105746,-0.851391,-0.0902219,-0.549354,-0.0950806,-0.894715,-0.0549777,1.38956,1.98529,0.212884,0.802746,0.759091,1.73094,1.08666,0.299368,0.610364,-1.00793,0.390838,0.310607,-0.878492,-0.221119,0.341922,0.540447,-0.0791205,-0.476338
-537.996,0.839863,0.227731,4,15,0,555.609,2.72804,0.999502,-2.98477,-3.17047,-2.36658,-1.27228,1.51205,0.976784,-3.03312,2.40831,-0.935312,-1.70189,1.2816,0.58,-2.54071,6.58043,3.77312,-0.398277,1.21167,0.910441,-0.622176,0.52287,0.264149,-0.337332,-2.85568,0.322875,-0.925881,-0.0368526,1.40088,0.104677,1.26213,-1.10786,0.399565,2.83946,1.75708,-0.825942,-0.619953,0.972145,-0.750735,0.69246,-0.0624603,-0.47
-540.749,0.715002,0.227731,4,15,0,562.43,2.9456,0.999721,-2.50145,-4.35864,-2.81782,-2.54023,0.841598,0.869547,-2.50883,0.697215,-2.48674,-0.110934,-0.105134,2.6527,-1.06294,7.31028,0.634378,-0.949159,0.915984,-1.27487,1.078,-0.201917,-0.46633,-0.80983,-0.498694,-0.758938,0.551983,2.12235,-0.247638,0.0513645,-0.0525773,-1.46302,1.77908,0.830359,1.36981,0.159895,-0.961412,0.555608,-0.383564,0.869028,0.372059,0.66646
-545.504,0.994026,0.227731,4,15,0,563.346,2.50325,0.99841,-2.4291,-4.1378,-1.39477,-0.779745,2.62079,-1.14796,-2.81071,1.21174,-1.05212,-2.62587,2.60484,-0.0599942,-1.73015,5.86584,5.55253,-0.613937,-0.693642,2.99997,-0.803509,-0.00987065,1.43074,-0.124464,0.47311,3.19755,-0.42703,-1.47952,-0.0320106,2.48502,1.07106,0.136961,-0.0546288,-0.794098,-0.259818,0.0336822,1.92872,-0.547796,-0.114699,-0.320401,-0.000706903,-1.45276
-531.79,0.993423,0.227731,4,15,0,557.891,2.60655,0.998804,-2.82251,-2.75779,-2.42859,-1.30851,2.16075,-0.454484,-1.243,1.45149,-1.70319,-1.63906,1.3869,-0.547953,-1.80479,6.19511,4.86566,-1.47526,0.0228698,1.84717,0.177467,-0.805552,0.333924,-0.465892,-1.15514,2.6723,-1.68705,1.10787,0.947364,1.87585,0.432818,-0.146335,1.25844,-0.129914,0.0934281,0.830103,0.165072,0.199639,0.661788,0.929247,0.0764252,-0.636933
-535.298,0.970579,0.227731,4,15,0,552.799,3.53511,0.999636,-3.28443,-5.03929,-2.7173,-1.96164,0.575972,0.824403,-3.78751,1.08913,-3.09122,-0.983785,0.554024,0.781377,-2.28455,5.73953,0.521246,-0.0843958,0.357389,-1.01498,-0.914371,-1.79955,0.271837,0.738363,0.229407,-0.210645,1.56692,0.531631,-0.860893,0.96379,1.17003,-0.946419,0.503895,-1.03509,0.659814,-0.822704,-0.0619592,0.184744,-1.63441,-0.577617,1.34867,-0.205166
-537.121,0.893743,0.227731,4,15,0,563.007,2.64929,0.998985,-2.80696,-3.60262,-1.92941,-1.46924,2.00736,-0.907503,-1.48199,1.44809,-0.371687,-1.35475,1.15289,1.22471,-1.02656,6.65877,5.10624,-0.820105,-0.418541,3.11564,0.799193,1.27188,0.782583,-1.31845,-0.989816,2.03748,-1.7931,0.106786,0.837111,1.49323,-0.254618,-0.131812,1.11574,1.10039,0.16879,1.10742,0.867775,-0.132922,1.10846,1.30829,-1.22226,-0.520383
-537.043,0.988022,0.227731,4,15,0,558.84,3.41974,0.999329,-3.34479,-5.09448,-3.47162,-0.473027,1.28887,0.653902,-3.52024,0.979546,-3.08186,-0.602398,0.575199,1.29199,-2.97422,6.54008,0.723599,-0.101619,0.930325,-1.66933,-0.736778,-1.74202,0.718646,0.782964,-0.420935,0.140278,1.59083,1.04374,-1.17057,1.37654,1.42026,-0.500055,-0.384893,-0.744545,0.560371,-0.781255,0.143569,0.159321,-1.11567,-0.234682,0.917971,-0.800063
