# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = mice_scfa_producer_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/liaoc/Documents/cmdstan-2.24.1/examples/mice_scfa_producer/mice_scfa_producer.data.json
# init = 2 (Default)
# random
#   seed = 3197751197 (Default)
# output
#   file = output_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.256834
# Diagonal elements of inverse mass matrix:
# 0.0835729, 1.37851, 0.160744, 0.429871, 0.446022, 0.769019, 0.279231, 0.69669, 0.598707, 0.709844, 0.439458, 0.769896, 0.822634, 0.833904, 0.449237, 0.790226, 0.945413, 1.04666, 1.04547, 0.825523, 0.895511, 1.06613, 1.07975, 0.876273, 0.903327, 0.940095, 1.15243, 0.936675, 0.837901, 0.991814, 0.711117, 0.864173, 0.84576, 1.11629, 0.940701, 0.878453, 1.10008, 1.08162, 0.908794, 1.0678, 1.05824, 1.11572
-317.383,0.920421,0.256834,4,15,0,342.92,2.38755,0.987607,-2.50418,-0.122668,-1.96653,-3.45551,0.856407,-0.0109849,-4.17493,3.14472,-1.14659,0.243009,1.74339,0.608254,-2.06942,0.623631,-0.0221605,-0.736855,1.34696,3.80478,0.641828,-1.10555,0.10905,-1.02645,-1.14928,0.0590645,0.149467,0.281623,1.44482,-0.985254,0.947043,-0.978059,-0.16518,0.505276,-0.457447,0.285472,-0.941729,-0.386206,-0.3918,3.48874,0.784628,-2.36527
-314.11,0.983575,0.256834,4,15,0,334.961,2.42301,0.999645,-2.84361,-0.202215,-0.918093,-4.28123,0.534452,-1.53372,-3.88639,4.21154,-1.49072,-0.526367,0.334797,-0.0377232,-0.441918,1.83871,1.44294,0.851437,-1.08055,2.18024,2.102,0.850606,-1.24295,0.939194,-1.00363,1.24482,-0.939535,0.279489,-0.160285,-0.542741,1.21417,-0.0351549,0.304934,0.783979,1.48638,0.499663,1.37822,-0.368456,1.51241,-1.1283,-1.34874,-0.108933
-313.583,0.953684,0.256834,4,15,0,333.807,2.09037,0.999909,-1.98143,-0.574527,-0.374374,-3.09094,0.727403,-1.06479,-4.0551,4.62771,-2.33364,-2.42317,0.88768,-1.02849,-1.93672,1.63294,0.998915,-1.43421,1.18509,3.06182,0.612027,-0.301085,1.1182,-0.467893,2.40479,0.814311,0.977457,-0.200717,1.34279,1.10265,-0.487331,-0.950942,0.562402,0.159811,-0.114627,-1.71416,-0.537029,1.50675,0.236652,0.605657,-1.19436,0.152342
-316.319,0.967919,0.256834,4,15,0,335.515,2.54316,0.9988,-2.35238,0.340121,-1.75277,-3.50595,0.409252,-2.74347,-5.15768,4.86759,-1.46795,-1.80845,-1.38254,-0.474502,-1.46789,2.44547,-0.0763342,-0.0655824,-1.60426,6.25474,0.0773232,0.414473,0.312763,-0.37315,-0.728117,-1.52814,-0.152247,-0.485622,2.98451,0.647982,1.19736,-0.523804,1.22327,0.148515,0.717869,-1.06362,0.15726,-0.858106,0.773542,2.01563,-0.493247,1.41665
-313.659,0.95802,0.256834,4,15,0,340.578,2.12979,0.996688,-2.3842,-1.53311,-1.3042,-3.04391,0.151991,0.845034,-3.29038,4.94404,-1.21897,-0.256154,0.202126,-1.03721,-0.736643,1.17336,1.98851,-0.394192,1.56517,1.66783,2.07174,0.335961,0.222736,0.539714,0.0869095,1.57405,0.258821,0.995962,0.323149,-0.517335,0.510816,0.00359032,-0.41026,0.234638,0.276772,0.329133,-0.792494,-0.135492,-0.351308,-2.45876,1.20599,-1.41813
-314.742,0.86782,0.256834,4,15,0,335.939,2.20903,0.99573,-2.44046,-1.50406,-1.23103,-2.76854,0.306218,0.346762,-2.90962,5.21803,-1.00252,-0.336018,0.231777,-0.584539,-0.651539,1.55626,1.98202,-0.635998,1.64141,1.91877,2.01949,0.600662,-0.0259005,0.576411,-0.104728,1.96932,0.030892,0.370232,0.327171,-0.439137,0.559951,0.0162212,-0.507298,0.0849474,0.385976,0.494519,-0.724993,-0.500409,-0.469332,-2.8349,1.20173,-1.69551
-315.861,0.955805,0.256834,4,15,0,342.717,1.58435,0.999735,-1.48714,0.843296,-0.8613,-2.86518,0.916421,-1.65037,-3.80477,3.95154,-0.831903,-2.27306,1.73143,0.847398,0.191481,2.00931,-0.417742,1.47641,0.10573,5.16492,0.940646,-0.171749,-1.08056,0.273137,-1.54475,0.665087,0.722398,-1.87133,0.606882,0.313964,0.325521,-0.0496076,-0.553588,-0.22906,1.15321,-0.527803,-0.285546,0.327821,-0.0580014,0.456699,1.77493,2.78856
-318.651,0.955187,0.256834,4,15,0,337.522,1.72319,0.999608,-1.10816,1.34717,-1.27698,-3.94603,1.58663,-2.71989,-3.65919,4.40745,-1.2659,-2.93487,0.90744,1.8704,0.149627,2.34634,-0.0323887,0.454471,-1.21465,4.63638,1.37835,-0.868779,-0.393006,-0.939173,-0.445545,1.73928,-0.276868,0.157711,1.33751,-0.121729,0.543403,0.612137,0.137273,1.01472,-1.30166,-0.392573,-0.835159,0.163696,0.600612,0.194394,1.66495,1.08503
