lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta__Muribaculaceae,beta__Bacteroides,beta__Akkermansia_dash_muciniphila,beta__Parasutterella,beta__Bacteroides_dash_acidifaciens,beta__Faecalibaculum,beta__Lachnospiraceae_dash_NK4A136_dash_group,beta__Parabacteroides_dash_goldsteinii,beta__Bacteroides_dash_uniformis,beta__Clostridia_dash_UCG_dash_014,beta__Lachnospiraceae,beta__Alloprevotella,beta__Escherichia_dash_Shigella,beta__Desulfovibrionaceae,beta__Helicobacter_dash_ganmani,beta__Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,beta__Oscillospiraceae,beta__Lachnospiraceae_dash_bacterium_dash_28_dash_4,beta__Clostridia_dash_vadinBB60_dash_group,beta__Mucispirillum_dash_schaedleri,beta__Colidextribacter,beta__Muribaculum,beta__Lachnospiraceae_dash_bacterium_dash_10_dash_1,beta__Roseburia,beta__Oscillibacter,beta__Desulfovibrio,beta__Peptococcaceae,beta__Parabacteroides,beta__Ruminococcaceae,beta__Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,beta__Anaerotruncus,beta__Rikenellaceae_dash_RC9_dash_gut_dash_group,beta__Lactobacillus,beta__Alistipes,beta__Lachnoclostridium,beta__Helicobacter_dash_mastomyrinus,beta__Gastranaerophilales,beta__Lachnospiraceae_dash_UCG_dash_006,beta__Blautia,beta__Bilophila
# Adaptation terminated
# Step size = 0.226531
# Diagonal elements of inverse mass matrix:
# 0.0955562, 1.25781, 0.191978, 0.573469, 0.47228, 0.711372, 0.305619, 0.712718, 0.747751, 0.846048, 0.46945, 0.868893, 0.879867, 0.815539, 0.624956, 0.757942, 0.832626, 0.891764, 1.15046, 0.85998, 1.09495, 1.02011, 1.16437, 0.933333, 1.0951, 1.00681, 1.00472, 0.888813, 0.874933, 0.944975, 1.07029, 1.00479, 1.01173, 0.794897, 0.852429, 1.18945, 0.897547, 0.941796, 0.882326, 0.977129, 1.01649, 1.1128
-313.041,0.988184,0.226531,4,15,0,337.311,2.04069,0.999406,-1.70328,-1.28518,-2.09666,-2.50449,0.788225,-0.0826903,-4.39855,5.4241,-2.12587,-1.23775,0.790235,-0.102821,-1.90895,2.17317,0.0619554,-0.906018,-0.599384,3.36708,0.38173,1.86133,-1.66256,1.29898,-0.00182277,0.0586981,0.432615,0.288579,2.7459,0.549912,2.51714,0.0683407,1.70568,-1.45387,0.323296,-0.712237,0.831994,0.956038,-0.0662621,0.589484,-0.198284,-0.63468
-313.454,0.95341,0.226531,4,15,0,331.542,1.91147,0.98846,-2.13241,-1.0811,-1.06817,-2.80909,0.550332,-0.145009,-2.85479,5.90461,-0.389386,-1.55055,1.48666,0.254696,-0.84808,2.18329,1.95584,0.464799,0.456245,4.71963,0.46026,0.257547,-0.54892,1.65557,-1.68036,0.941359,-1.32426,0.0476479,2.05418,0.217653,1.3987,-0.830164,-1.99219,-0.571228,0.500245,0.0829574,1.41067,-1.32711,0.7444,-0.485579,0.242918,0.658202
-314.031,0.978588,0.226531,4,15,0,331.583,1.98386,0.996315,-2.48782,-1.53117,-0.88162,-2.92213,0.70008,0.243533,-2.80273,5.93554,-0.484169,-1.34192,0.795591,-0.148966,-0.705629,1.54199,2.36835,0.641991,0.235316,4.05745,-0.688084,0.00180561,0.0714437,1.64177,-1.29711,1.33531,-1.98994,-0.201865,1.66677,0.580394,0.991086,-1.05211,-1.38688,-0.286854,-0.0967886,-0.119319,1.48527,-0.768403,-0.266551,0.0524116,-1.65863,-0.76394
-320.104,0.668577,0.226531,4,15,0,338.415,1.77038,0.998541,-1.1237,1.35755,-1.28827,-3.32547,0.5566,-0.461967,-4.1877,4.88838,-1.88529,-0.431005,0.0294995,-0.175563,-1.4938,2.37689,-1.74324,-1.31188,1.15468,4.69749,2.23768,0.159356,-0.326552,-2.10074,0.516936,-0.604288,3.22807,0.290337,0.0779997,-0.285595,0.323916,0.616451,1.078,0.546017,-0.103693,-0.773712,-0.458417,0.0812891,0.840027,1.26351,2.02925,-0.0997431
-314.483,0.87926,0.226531,4,15,0,339.954,1.82851,0.998423,-1.47159,0.77007,-1.29594,-2.39283,1.52996,-1.68065,-3.5142,4.50341,-1.71216,-1.7126,-0.72062,-1.38584,-1.96926,2.35207,-1.6953,-1.53082,-0.708839,4.95112,2.53032,0.475378,0.106663,-1.16461,-0.739686,-0.942341,2.4086,-0.0453497,0.783881,-0.138544,-0.558472,-0.225619,1.41025,-0.483046,0.770958,0.606513,-0.516365,-1.16156,0.402153,1.05159,0.950479,0.370291
-322.594,0.947866,0.226531,4,15,0,338.599,2.22532,0.999173,-2.4369,-0.94523,-1.18781,-3.54238,-0.949981,0.38825,-5.05192,4.75893,-0.427771,-1.12846,2.05876,1.47349,-0.935626,2.08899,3.36913,0.299573,0.654739,3.02046,-0.532357,-0.217496,-0.249739,0.753058,-0.033719,2.62012,-0.27981,-1.34702,1.7531,-0.483752,1.85226,-0.222687,-0.449439,0.620567,0.683729,-1.80976,0.142242,0.248054,-1.13544,0.655336,-1.88685,-0.696081
-322.445,0.986658,0.226531,4,15,0,341.881,2.43025,0.995057,-2.24639,-0.364091,-0.593039,-4.32153,1.191,-0.823552,-3.12721,4.30928,-2.77395,-0.863532,-1.4036,-1.7958,-1.49349,1.31925,-2.12764,-1.39018,0.0843202,4.50766,2.46942,0.150151,0.798153,-0.402803,-1.144,-2.16611,1.22182,-0.163934,0.915431,0.211063,-1.18858,-1.02364,1.82088,-0.58833,0.853108,1.83812,-0.287687,1.12091,1.34493,-0.0714688,1.74568,0.108514
-309.394,0.731573,0.226531,4,15,0,338.74,2.52144,0.997768,-2.14712,-0.0667187,-2.44411,-3.3538,0.19184,-0.459163,-3.84222,4.1583,-0.931059,-1.87757,-0.38303,1.33853,-1.21306,1.95936,0.504153,-0.784536,0.717655,4.7526,0.0158057,0.498537,0.282348,0.345655,-1.41359,0.27089,-0.576682,-0.977868,1.75974,0.618719,-0.0397864,-1.41994,1.50018,0.360871,-1.1757,-1.83523,-0.890961,-0.400804,0.00618036,-0.294619,-0.505246,-0.995049
-316.972,0.985132,0.226531,4,15,0,332.295,2.18474,0.998326,-2.3191,0.269093,-0.239723,-4.61638,0.165333,0.243625,-5.46021,4.36087,-2.52691,1.2162,-0.754969,-0.945726,-1.45518,2.52876,-0.00190716,1.57911,0.741454,3.39018,0.697021,-0.667674,0.187152,0.396322,-0.929112,1.22743,1.0866,1.68503,2.45831,0.916918,0.319803,-0.844277,-0.50139,1.38123,0.0629743,1.46156,-0.772526,-0.015203,-0.0684935,0.24357,-0.895101,1.01266
-323.921,0.869323,0.226531,4,15,0,341.17,1.63338,0.996975,-1.27373,-0.694694,-1.5915,-2.79503,0.818253,-0.719806,-2.54153,5.50724,-0.214581,-4.32399,1.59694,0.520347,-0.61859,1.53505,1.22933,-2.9023,-0.127485,5.4057,-0.046827,0.889358,0.0124183,-1.06493,0.00132677,-0.769795,-1.22529,-1.58677,1.17914,0.0237682,-0.327942,-0.373637,2.00374,-2.77,-0.614533,-1.22496,0.653683,-0.112492,0.486499,-1.28098,0.825601,-0.939571
-312.85,1,0.226531,4,15,0,339.484,1.38713,0.997479,-1.49364,0.238646,-0.427973,-2.0445,0.422341,-0.608707,-3.5026,4.99673,-1.49582,-2.02865,1.71627,0.942488,-1.55975,1.12837,-0.385199,0.701248,0.901323,3.84348,1.82668,0.633573,-0.303436,-0.579244,0.208196,1.57151,-0.57789,-1.95411,3.14951,0.643523,0.606623,0.306999,1.8944,-1.88152,0.854833,-0.733351,-0.640202,-0.564426,0.223456,-1.25871,0.19542,0.20162
-316.916,0.935683,0.226531,4,15,0,338.716,2.22273,0.998125,-2.13276,0.588217,-1.4067,-5.06302,0.999285,0.00404969,-4.1086,4.74359,-0.92449,-0.590696,-1.16383,-1.43006,-0.610248,2.45659,2.74974,-0.90965,0.382848,3.92342,0.00224579,-1.1628,1.19376,-0.168127,-0.721655,-1.46862,-0.504299,0.524768,-0.229813,0.785293,0.0774117,-1.7939,-1.36219,0.841005,0.778157,0.119875,1.72475,1.4434,-0.244428,2.5076,1.26495,-0.278801
-311.302,0.943176,0.226531,4,15,0,335.398,1.6368,0.998462,-1.00141,0.616918,-1.81916,-2.77693,1.45943,-0.187797,-4.01384,4.91741,-0.96659,-1.7896,-0.204453,-1.98648,-0.256336,3.07509,1.80277,-0.54581,0.492826,4.50591,0.830191,-0.481189,-0.628415,1.11964,-1.23828,-0.380417,-0.78962,0.811843,2.36043,-0.201291,1.13349,-0.569478,1.22818,2.15838,-0.430364,-0.65576,0.937011,-0.316972,0.0150266,0.171866,1.39763,0.696754
-315.455,0.904784,0.226531,4,15,0,337.809,1.62238,0.995806,-1.59397,0.577705,-0.605574,-4.62126,-0.102133,-0.112766,-3.08545,5.45702,-0.624781,0.105823,0.47883,0.303102,-0.0947618,0.545402,0.359723,0.902636,0.0637726,2.9708,1.9057,0.179497,0.168482,-0.0625245,1.16377,1.52118,1.7499,0.258148,-0.583262,1.2635,-0.457373,-1.3227,-0.199278,-0.213544,0.533403,0.826213,-0.264432,-2.09738,0.363151,1.38838,-0.726733,-1.18956
