,MiceID,Vendor,SCFA,k1,k2,D,H,Ai,R2,zeta
48,BC5,Beijing,Butyrate,0.091714581,0.091711298,6.10143E-09,5.97834E-10,3.10771294,0.571632037,1
49,SC3,Shanghai,Butyrate,1,0.310202899,4.75668E-09,0.218284217,2.974905585,0.745393286,1.176212077
50,BC3,Beijing,Butyrate,0.999999982,0.999999978,8.983603284,1.114800538,2.176444568,0.747894444,1
51,SC2,Shanghai,Butyrate,0.999999967,0.999999973,7.42264E-09,1.012401644,1.245996739,-0.076238928,1
52,GC2,Guangdong,Butyrate,0.26299649,0.262996469,6.19297E-09,0.151994134,1.365243809,0.374546887,1
53,SC4,Shanghai,Butyrate,0.720102903,0.720102921,2.72731373,0.664568696,1.002005681,0.337580217,1
54,HC2,Hunan,Butyrate,0.301277436,0.301277403,0.916939249,0.154986033,2.36402156,0.275225529,1
55,HC4,Hunan,Butyrate,0.434361098,0.434361123,4.20747443,0.329303703,1.422729429,0.397799108,1
56,SC1,Shanghai,Butyrate,0.130259838,0.130259936,0.348977825,0.003592653,0.512477753,0.243949082,1
57,HC1,Hunan,Butyrate,0.99999996,0.999999955,5.61865E-09,1.70920274,2.923076129,-0.176068656,1
58,GC1,Guangdong,Butyrate,0.999999982,0.999999983,2.89568E-08,1.505953657,3.616158939,0.076874327,1
59,GC3,Guangdong,Butyrate,0.124093877,0.12409521,3.53015E-09,3.95544E-10,3.673222554,0.230005358,1
60,HC5,Hunan,Total,0.999999979,0.999999945,4.0186E-08,8.884139572,21.22007068,0.239321977,1
61,BC1,Beijing,Total,0.999999987,0.999999987,34.50607575,10.93774011,26.74197261,0.845074592,1
62,BC4,Beijing,Total,0.149675035,0.446135624,6.19202E-09,0.908030917,23.31067169,0.527802756,1.152842921
63,GC5,Guangdong,Total,0.476786555,0.476786516,14.98753017,3.209022397,9.241047544,0.316410268,1
64,BC2,Beijing,Total,0.117459733,0.330965089,2.514738304,0.282149192,21.17831233,0.456519987,1.137166483
65,HC3,Hunan,Total,0.152875281,0.152875311,4.039248517,0.141713999,12.05440509,0.313179545,1
66,GC4,Guangdong,Total,0.57912287,0.579122584,13.31026294,5.034864565,13.15526868,0.218995547,1
67,SC5,Shanghai,Total,5.02201E-09,0.999999999,1.790877491,0.09930314,4.930937307,0.465444289,7055.552546
68,BC5,Beijing,Total,0.999999945,0.999999945,2.85083E-07,13.60233161,29.89099968,0.571607104,1
